rows	cols	round	order	backend	seed	repetitions	elapsed_ns	cycles	instructions	branches	branch_misses	rank_sum	checksum
4	5	1	1	table	1	10000000	630633047	3081207969	22785216879	4440738745	22717	40000000	7453563734048550656
4	5	1	2	binary	1	10000000	632376626	3056705997	21245216362	2940738572	208587	40000000	7453563734048550656
4	5	2	1	binary	2	10000000	631070919	3057096723	21245215673	2940738340	278922	40000000	15765308688111689344
4	5	2	2	table	2	10000000	630413432	3073525351	22785215894	4440738436	21852	40000000	15765308688111689344
4	5	3	1	table	3	10000000	632737624	3085209871	22785216270	4440738506	21366	40000000	1385315081967695616
4	5	3	2	binary	3	10000000	630717575	3054940139	21245216367	2940738533	271478	40000000	1385315081967695616
4	5	4	1	binary	4	10000000	630749233	3053394605	21245215752	2940738337	220605	40000000	15061555280217382784
4	5	4	2	table	4	10000000	634384310	3090044784	22785215785	4440738344	21443	40000000	15061555280217382784
4	5	5	1	table	5	10000000	635439085	3087208015	22785216122	4440738486	22545	40000000	3984472587079937536
4	5	5	2	binary	5	10000000	635180241	3067077411	21245216255	2940738578	239485	40000000	3984472587079937536
4	5	6	1	binary	6	10000000	633651498	3057820633	21245217393	2940739740	299723	40000000	10851925462415589248
4	5	6	2	table	6	10000000	637068208	3083499010	22785216448	4440738607	21590	40000000	10851925462415589248
4	5	7	1	table	7	10000000	632281399	3081300752	22785215868	4440738398	19564	40000000	5162638903190521472
4	5	7	2	binary	7	10000000	634112632	3071890023	21245216506	2940738619	180585	40000000	5162638903190521472
8	9	1	1	table	1	10000000	2638182910	12857350675	98335219597	22590740933	42928	80000000	366006826998999040
8	9	1	2	binary	1	10000000	2591685945	12532779230	86045219218	13260740824	506998	80000000	366006826998999040
8	9	2	1	binary	2	10000000	2612418503	12636284648	86045219719	13260740961	594180	80000000	366006827388999040
8	9	2	2	table	2	10000000	2669006457	12990497562	98335219664	22590741081	40787	80000000	366006827388999040
8	9	3	1	table	3	10000000	2665180542	12983659325	98335219608	22590741003	39874	80000000	366006826988999040
8	9	3	2	binary	3	10000000	2594471876	12554981673	86045220344	13260741192	553095	80000000	366006826988999040
8	9	4	1	binary	4	10000000	2610434988	12618628110	86045220312	13260741203	697938	80000000	366006827468999040
8	9	4	2	table	4	10000000	2645396910	12896113527	98335219304	22590740907	35731	80000000	366006827468999040
8	9	5	1	table	5	10000000	2648135399	12917613376	98335218999	22590740772	37534	80000000	366006827258999040
8	9	5	2	binary	5	10000000	2590289805	12540775145	86045220417	13260741236	612725	80000000	366006827258999040
8	9	6	1	binary	6	10000000	2589421118	12533984976	86045219400	13260740921	917916	80000000	366006827148999040
8	9	6	2	table	6	10000000	2652218168	12935835285	98335219553	22590741015	40726	80000000	366006827148999040
8	9	7	1	table	7	10000000	2643889658	12886271801	98335219642	22590740981	39915	80000000	366006826878999040
8	9	7	2	binary	7	10000000	2589947157	12536555747	86045219158	13260740782	726583	80000000	366006826878999040
