round	order	backend	repetitions	elapsed_ns	cycles	instructions	branches	branch_misses	work	checksum	final_index
1	1	parent	10000000	1055875260	4714203223	16175196142	4290734265	21440	30000000	14695981039346656037	5681173
1	2	candidate	10000000	1063262381	4756099052	17885195741	4590734107	22529	30000000	14695981039346656037	5681173
2	1	candidate	10000000	1063815912	4765201007	17885195708	4590734098	28336	30000000	14695981039346656037	5681173
2	2	parent	10000000	1051239673	4695396944	16175195454	4290734101	22853	30000000	14695981039346656037	5681173
3	1	parent	10000000	1042586242	4660766555	16175195547	4290734162	22668	30000000	14695981039346656037	5681173
3	2	candidate	10000000	1048807092	4699300030	17885195690	4590734200	23318	30000000	14695981039346656037	5681173
4	1	candidate	10000000	1048704540	4700159329	17885195913	4590734255	23052	30000000	14695981039346656037	5681173
4	2	parent	10000000	1044687706	4674343273	16175196259	4290734435	22147	30000000	14695981039346656037	5681173
5	1	parent	10000000	1043112572	4672922298	16175195332	4290734119	22594	30000000	14695981039346656037	5681173
5	2	candidate	10000000	1045985695	4692374340	17885196161	4590734351	22737	30000000	14695981039346656037	5681173
6	1	candidate	10000000	1046648529	4698028643	17885195532	4590734170	23401	30000000	14695981039346656037	5681173
6	2	parent	10000000	1043617372	4677025755	16175196451	4290734462	22640	30000000	14695981039346656037	5681173
7	1	parent	10000000	1040936688	4667409104	16175195466	4290734170	22483	30000000	14695981039346656037	5681173
7	2	candidate	10000000	1045763951	4693395601	17885195633	4590734161	23498	30000000	14695981039346656037	5681173
