round	order	backend	repetitions	elapsed_ns	cycles	instructions	branches	branch_misses	work	checksum	final_index
1	1	parent	10000000	523471827	2453983604	16240572234	4290100862	12793	30000000	14695981039346656037	23301
1	2	candidate	10000000	403080426	1935196985	12970573173	4030101022	26553	30000000	14695981039346656037	23301
2	1	candidate	10000000	383745709	1845691466	12970572998	4030100914	16737	30000000	14695981039346656037	23301
2	2	parent	10000000	559182971	2547970631	16240571639	4290100707	29507	30000000	14695981039346656037	23301
3	1	parent	10000000	522343224	2472755081	16240571703	4290100707	16394	30000000	14695981039346656037	23301
3	2	candidate	10000000	466166105	1829602156	12970572559	4030100832	10223	30000000	14695981039346656037	23301
4	1	candidate	10000000	381494605	1821717386	12970572515	4030100771	9220	30000000	14695981039346656037	23301
4	2	parent	10000000	510256679	2450032266	16240571627	4290100659	10668	30000000	14695981039346656037	23301
5	1	parent	10000000	503909264	2448271360	16240571822	4290100738	9932	30000000	14695981039346656037	23301
5	2	candidate	10000000	390802805	1813768245	12970573022	4030100935	10136	30000000	14695981039346656037	23301
6	1	candidate	10000000	382069897	1819867188	12970572908	4030100889	9608	30000000	14695981039346656037	23301
6	2	parent	10000000	509330753	2440539809	16240572004	4290100772	9375	30000000	14695981039346656037	23301
7	1	parent	10000000	509490642	2458551763	16240571604	4290100644	12907	30000000	14695981039346656037	23301
7	2	candidate	10000000	371837856	1795722748	12970572773	4030100854	8901	30000000	14695981039346656037	23301
