round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	249.43	1174483161	4081193167	747987632	746502	29970000	6787825262560643446
1	2	candidate	203.32	973485676	4220132692	748307523	182247	29970000	6787825262560643446
2	1	candidate	177.69	852082340	4220132325	748307373	178464	29970000	6787825262560643446
2	2	parent	171.39	807935972	4081192645	747987377	250724	29970000	6787825262560643446
3	1	parent	226.40	1078352502	4081192408	747987347	791473	29970000	6787825262560643446
3	2	candidate	195.98	947972900	4220133025	748307617	180219	29970000	6787825262560643446
4	1	candidate	172.54	829907297	4220133024	748307600	177385	29970000	6787825262560643446
4	2	parent	188.38	886568830	4081192882	747987486	388255	29970000	6787825262560643446
5	1	parent	250.15	1181077472	4081192612	747987448	913368	29970000	6787825262560643446
5	2	candidate	202.85	971075111	4220132899	748307571	211560	29970000	6787825262560643446
6	1	candidate	203.40	977356829	4220132176	748307340	218131	29970000	6787825262560643446
6	2	parent	228.56	1085424023	4081192406	747987350	839898	29970000	6787825262560643446
7	1	parent	212.61	1012128706	4081193003	747987530	612718	29970000	6787825262560643446
7	2	candidate	145.55	698604370	4220132107	748307307	171385	29970000	6787825262560643446
8	1	candidate	146.24	701389539	4220132318	748307374	171491	29970000	6787825262560643446
8	2	parent	169.03	793228280	4081192648	747987400	204479	29970000	6787825262560643446
9	1	parent	166.94	792537530	4081192411	747987303	210627	29970000	6787825262560643446
9	2	candidate	145.76	700282249	4220132555	748307431	171464	29970000	6787825262560643446
10	1	candidate	144.68	698445816	4220132669	748307461	171375	29970000	6787825262560643446
10	2	parent	170.49	798119047	4081192338	747987278	220089	29970000	6787825262560643446
11	1	parent	168.18	797263554	4081192931	747987475	214937	29970000	6787825262560643446
11	2	candidate	159.92	774828482	4220132332	748307360	176131	29970000	6787825262560643446
12	1	candidate	184.22	883381807	4220132027	748307282	178962	29970000	6787825262560643446
12	2	parent	181.67	863073637	4081192666	747987402	303806	29970000	6787825262560643446
13	1	parent	179.44	853879205	4081192848	747987455	238924	29970000	6787825262560643446
13	2	candidate	145.46	699262242	4220132703	748307471	171593	29970000	6787825262560643446
14	1	candidate	148.11	712426443	4220132605	748307441	171819	29970000	6787825262560643446
14	2	parent	171.97	808737650	4081192382	747987310	250977	29970000	6787825262560643446
15	1	parent	169.13	792130149	4081192477	747987329	203456	29970000	6787825262560643446
15	2	candidate	189.21	906472746	4220132743	748307523	215806	29970000	6787825262560643446
