round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	1990.89	9516199203	40768255342	7473959661	3401832	299700000	15511924543790083375
1	2	candidate	1860.91	8976773337	42157654613	7477159440	1704452	299700000	15511924543790083375
2	1	candidate	1561.03	7562708166	42157653967	7477158974	2000351	299700000	15511924543790083375
2	2	parent	1658.49	7890304279	40768254764	7473959294	1937477	299700000	15511924543790083375
3	1	parent	1780.10	8404868737	40768254951	7473959502	2447607	299700000	15511924543790083375
3	2	candidate	1467.52	7097492342	42157653674	7477158819	2323099	299700000	15511924543790083375
4	1	candidate	1684.32	8086651352	42157654596	7477159355	1851832	299700000	15511924543790083375
4	2	parent	1968.96	9269249596	40768255310	7473960005	3292754	299700000	15511924543790083375
5	1	parent	2361.77	11036285499	40768256125	7473960727	5646587	299700000	15511924543790083375
5	2	candidate	2012.39	9558088226	42157655515	7477160018	2130573	299700000	15511924543790083375
6	1	candidate	1958.82	9154976465	42157655559	7477160165	1870481	299700000	15511924543790083375
6	2	parent	2081.60	9815409265	40768255510	7473959937	4160402	299700000	15511924543790083375
7	1	parent	1803.07	8538061057	40768254361	7473959159	2364413	299700000	15511924543790083375
7	2	candidate	1609.98	7774490605	42157654272	7477159007	1880602	299700000	15511924543790083375
