round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	baseline	170.63	559230641	3640768004	638245171	166216	29970000	17493190878311421469
1	2	candidate	140.98	462106230	3071337305	498384988	166321	29970000	17493190878311421469
2	1	candidate	141.18	462464331	3071337835	498385162	170968	29970000	17493190878311421469
2	2	baseline	168.88	553730838	3640767748	638245095	166417	29970000	17493190878311421469
3	1	baseline	168.90	553743867	3640767888	638245131	166485	29970000	17493190878311421469
3	2	candidate	142.13	466011909	3071337634	498385097	166315	29970000	17493190878311421469
4	1	candidate	141.26	462945648	3071337558	498385072	166501	29970000	17493190878311421469
4	2	baseline	168.78	553781668	3640768248	638245251	166429	29970000	17493190878311421469
5	1	baseline	170.11	557843880	3640767466	638244997	166527	29970000	17493190878311421469
5	2	candidate	148.34	486120338	3071337312	498384995	166612	29970000	17493190878311421469
6	1	candidate	140.86	461593154	3071337814	498385157	166355	29970000	17493190878311421469
6	2	baseline	168.41	552370492	3640767676	638245071	166245	29970000	17493190878311421469
7	1	baseline	168.73	553428707	3640767241	638244916	167796	29970000	17493190878311421469
7	2	candidate	141.05	461805753	3071337804	498385191	166182	29970000	17493190878311421469
8	1	candidate	141.16	462314466	3071337372	498385015	166439	29970000	17493190878311421469
8	2	baseline	168.93	553693008	3640767870	638245125	170115	29970000	17493190878311421469
9	1	baseline	169.98	557087461	3640767907	638245138	166102	29970000	17493190878311421469
9	2	candidate	141.09	462232668	3071337605	498385088	166289	29970000	17493190878311421469
10	1	candidate	140.90	461838843	3071337530	498385037	166458	29970000	17493190878311421469
10	2	baseline	168.83	553789011	3640768406	638245309	166477	29970000	17493190878311421469
11	1	baseline	168.64	553014371	3640767597	638245040	166437	29970000	17493190878311421469
11	2	candidate	143.02	466918833	3071337801	498385152	170974	29970000	17493190878311421469
12	1	candidate	141.63	461280641	3071337279	498384982	166354	29970000	17493190878311421469
12	2	baseline	169.50	552760123	3640768168	638245227	166374	29970000	17493190878311421469
13	1	baseline	171.07	557738416	3640767932	638245151	169402	29970000	17493190878311421469
13	2	candidate	141.99	462725755	3071337924	498385203	166347	29970000	17493190878311421469
14	1	candidate	142.37	464866265	3071337465	498385044	166392	29970000	17493190878311421469
14	2	baseline	169.41	552780358	3640767933	638245148	171192	29970000	17493190878311421469
15	1	baseline	168.85	552375761	3640768148	638245227	166343	29970000	17493190878311421469
15	2	candidate	141.72	461733844	3071337471	498385046	166322	29970000	17493190878311421469
