round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	240.56	712703380	4310037603	737740402	171374	29970000	17493190878311421469
1	2	candidate	202.58	575126198	3740606237	627850032	170832	29970000	17493190878311421469
2	1	candidate	213.03	634009295	3740606589	627850124	177135	29970000	17493190878311421469
2	2	parent	261.27	799699993	4310038037	737740575	199872	29970000	17493190878311421469
3	1	parent	288.15	817447194	4310037612	737740460	214241	29970000	17493190878311421469
3	2	candidate	238.55	577591913	3740607121	627850336	171068	29970000	17493190878311421469
4	1	candidate	437.85	1254478207	3740607076	627850463	176881	29970000	17493190878311421469
4	2	parent	328.47	891697912	4310037644	737740504	173180	29970000	17493190878311421469
5	1	parent	295.58	712804181	4310037714	737740506	172032	29970000	17493190878311421469
5	2	candidate	230.67	667154191	3740606929	627850272	183321	29970000	17493190878311421469
6	1	candidate	388.41	1254429899	3740606258	627850169	175555	29970000	17493190878311421469
6	2	parent	448.44	1468632664	4310037191	737740441	175082	29970000	17493190878311421469
7	1	parent	449.14	1468699598	4310037152	737740440	172990	29970000	17493190878311421469
7	2	candidate	410.38	1254796314	3740606729	627850372	174408	29970000	17493190878311421469
8	1	candidate	384.64	1252176863	3740607122	627850469	172145	29970000	17493190878311421469
8	2	parent	451.07	1469165016	4310037853	737740693	171917	29970000	17493190878311421469
9	1	parent	451.54	1470876583	4310038024	737740736	171556	29970000	17493190878311421469
9	2	candidate	384.60	1253597681	3740606642	627850313	171357	29970000	17493190878311421469
10	1	candidate	384.70	1252100453	3740607516	627850606	171499	29970000	17493190878311421469
10	2	parent	450.55	1469122643	4310037395	737740515	172447	29970000	17493190878311421469
11	1	parent	450.42	1466803782	4310037416	737740516	176448	29970000	17493190878311421469
11	2	candidate	385.67	1257219171	3740606878	627850349	171361	29970000	17493190878311421469
12	1	candidate	383.22	1248676195	3740607079	627850430	173092	29970000	17493190878311421469
12	2	parent	449.87	1466023391	4310037523	737740543	173950	29970000	17493190878311421469
13	1	parent	449.38	1466323056	4310037664	737740608	173958	29970000	17493190878311421469
13	2	candidate	383.62	1248678103	3740607293	627850528	171239	29970000	17493190878311421469
14	1	candidate	383.48	1248800583	3740606913	627850364	171274	29970000	17493190878311421469
14	2	parent	428.37	1396223599	4310037559	737740539	171871	29970000	17493190878311421469
15	1	parent	216.07	709175584	4310037406	737740358	171002	29970000	17493190878311421469
15	2	candidate	174.49	572503980	3740606352	627850047	170696	29970000	17493190878311421469
