round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	274.89	1303467113	5048262640	969367470	368509	29970000	6787825262560643446
1	2	candidate	197.20	937073568	4081192387	747987311	403518	29970000	6787825262560643446
2	1	candidate	236.51	1133331715	4081192849	747987481	715429	29970000	6787825262560643446
2	2	parent	225.24	1070203797	5048262599	969367396	250691	29970000	6787825262560643446
3	1	parent	188.67	897598638	5048262876	969367449	198837	29970000	6787825262560643446
3	2	candidate	167.07	791192989	4081193116	747987527	206869	29970000	6787825262560643446
4	1	candidate	167.28	788746925	4081192537	747987349	198548	29970000	6787825262560643446
4	2	parent	235.59	1118065561	5048262600	969367404	235227	29970000	6787825262560643446
5	1	parent	273.34	1289118494	5048262580	969367417	339653	29970000	6787825262560643446
5	2	candidate	218.19	1028755333	4081193085	747987553	606000	29970000	6787825262560643446
6	1	candidate	199.32	944723936	4081192497	747987349	420710	29970000	6787825262560643446
6	2	parent	217.22	1024476834	5048262749	969367434	252011	29970000	6787825262560643446
7	1	parent	274.84	1298377542	5048262819	969367492	462438	29970000	6787825262560643446
7	2	candidate	256.23	1213586497	4081192750	747987474	1073098	29970000	6787825262560643446
8	1	candidate	252.80	1197868257	4081193297	747987641	806444	29970000	6787825262560643446
8	2	parent	192.57	914810095	5048262453	969367322	205591	29970000	6787825262560643446
9	1	parent	194.35	921214714	5048262944	969367477	180531	29970000	6787825262560643446
9	2	candidate	172.90	819227216	4081193138	747987544	227457	29970000	6787825262560643446
10	1	candidate	237.79	1130826342	4081193234	747987638	651913	29970000	6787825262560643446
10	2	parent	237.62	1110930133	5048262597	969367414	279300	29970000	6787825262560643446
11	1	parent	212.23	1002151385	5048262728	969367433	247990	29970000	6787825262560643446
11	2	candidate	167.28	791122713	4081192100	747987196	200350	29970000	6787825262560643446
12	1	candidate	186.30	882074720	4081192611	747987383	332883	29970000	6787825262560643446
12	2	parent	194.43	922094153	5048262973	969367498	187428	29970000	6787825262560643446
13	1	parent	205.00	968903723	5048263144	969367564	235226	29970000	6787825262560643446
13	2	candidate	196.85	928265537	4081192436	747987328	512316	29970000	6787825262560643446
14	1	candidate	240.54	1138618983	4081192545	747987389	818725	29970000	6787825262560643446
14	2	parent	228.02	1076334868	5048262671	969367420	229954	29970000	6787825262560643446
15	1	parent	225.99	1070670283	5048263319	969367628	234947	29970000	6787825262560643446
15	2	candidate	166.16	790095852	4081192393	747987281	196764	29970000	6787825262560643446
