round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	2747.55	13133946045	50438955634	9687760277	4184546	299700000	15511924543790083375
1	2	candidate	1798.78	8651496959	40768254792	7473959339	3177652	299700000	15511924543790083375
2	1	candidate	1950.43	9340071085	40768254733	7473959379	4088746	299700000	15511924543790083375
2	2	parent	2008.05	9529250131	50438954937	9687759577	2313594	299700000	15511924543790083375
3	1	parent	2010.09	9545381680	50438954580	9687759319	2191311	299700000	15511924543790083375
3	2	candidate	1660.19	7887441065	40768254154	7473959013	1874119	299700000	15511924543790083375
4	1	candidate	2018.35	9621876514	40768254909	7473959519	4711098	299700000	15511924543790083375
4	2	parent	2182.64	10386002965	50438955381	9687759784	2596300	299700000	15511924543790083375
5	1	parent	1897.91	9013501721	50438955394	9687759560	2039731	299700000	15511924543790083375
5	2	candidate	1777.80	8454778953	40768254608	7473959235	2656760	299700000	15511924543790083375
6	1	candidate	1783.73	8485251997	40768254880	7473959330	2883151	299700000	15511924543790083375
6	2	parent	1905.97	9059407703	50438954812	9687759380	1911244	299700000	15511924543790083375
7	1	parent	2063.06	9746826811	50438955012	9687759571	1784383	299700000	15511924543790083375
7	2	candidate	1680.84	7976374344	40768254852	7473959311	2167515	299700000	15511924543790083375
