round	order	backend	threads	solves	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
1	1	parent	1	16	1888.82	8196956721	34230191585	6279920788	29675493	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
1	2	candidate	1	16	1829.82	8193871699	34064210791	6247387727	34178065	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
2	1	candidate	1	16	1939.70	8483175109	34064229006	6247392820	33958360	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
2	2	parent	1	16	1932.05	8193341552	34230199823	6279923510	29634750	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
3	1	parent	1	16	1890.04	8354565316	34230245297	6279935085	30017358	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
3	2	candidate	1	16	2035.59	8637084924	34064208396	6247387003	33948323	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
4	1	candidate	1	16	1905.65	8347927854	34064214178	6247388854	33945675	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
4	2	parent	1	16	3097.21	10815797059	34230205002	6279925356	29942473	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
5	1	parent	1	16	1891.68	8311734774	34230191341	6279920733	29659406	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
5	2	candidate	1	16	1966.53	8347562726	34064213957	6247389650	33857612	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
6	1	candidate	1	16	1887.93	8189373607	34064242600	6247396759	34105789	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
6	2	parent	1	16	2745.06	9825588495	34230196845	6279922910	29924095	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
7	1	parent	1	16	1849.71	8121733567	34230209446	6279926477	29927438	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
7	2	candidate	1	16	1862.49	8176360769	34064210093	6247387289	34068463	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
8	1	candidate	1	16	1980.55	8427621422	34064218423	6247390218	33928666	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
8	2	parent	1	16	1958.12	8534396234	34230202890	6279923953	29826674	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
9	1	parent	1	16	1922.54	8279930832	34230190526	6279920461	30023884	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
9	2	candidate	1	16	1905.10	8408150881	34064209271	6247387357	34127573	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
10	1	candidate	1	16	1910.74	8343224689	34064209031	6247387072	34118485	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
10	2	parent	1	16	1889.51	8257570527	34230216016	6279927458	29761740	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
11	1	parent	1	16	1896.18	8225457884	34230219036	6279928483	29805232	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
11	2	candidate	1	16	2019.91	8501391237	34064232574	6247393770	33913436	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
12	1	candidate	1	16	1980.79	8587172673	34064216906	6247389580	33936805	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
12	2	parent	1	16	1912.98	8386942747	34230196079	6279921962	29810529	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
13	1	parent	1	16	1879.14	8181058144	34230201681	6279924064	29627215	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
13	2	candidate	1	16	1895.80	8384537031	34064228629	6247395123	34120653	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
14	1	candidate	1	16	1933.74	8321745864	34064227320	6247392269	34198100	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
14	2	parent	1	16	1899.75	8221399228	34230217412	6279927810	30262516	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
15	1	parent	1	16	1906.36	8432328625	34230194112	6279921483	30578874	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
15	2	candidate	1	16	1960.40	8580360185	34064217063	6247389952	33779945	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
