round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	flat	882.91	4244414188	21596401797	4482826210	725522	29970000	15781539854186186945
1	2	binary-flat	285.65	1369836677	8042502715	1228957419	549801	29970000	15781539854186186945
2	1	binary-flat	291.46	1396642607	8042503431	1228957687	489565	29970000	15781539854186186945
2	2	flat	831.43	3997778468	21596401468	4482826082	1386421	29970000	15781539854186186945
3	1	flat	955.01	4584960977	21596401552	4482826198	983269	29970000	15781539854186186945
3	2	binary-flat	379.84	1816051805	8042503016	1228957584	503870	29970000	15781539854186186945
4	1	binary-flat	395.88	1913255212	8042502775	1228957491	495423	29970000	15781539854186186945
4	2	flat	1142.15	5523711486	21596401083	4482826189	1405042	29970000	15781539854186186945
5	1	flat	1112.87	5364199020	21596401566	4482826355	899528	29970000	15781539854186186945
5	2	binary-flat	368.58	1769743544	8042502131	1228957279	519125	29970000	15781539854186186945
6	1	binary-flat	360.66	1728905836	8042502821	1228957513	501581	29970000	15781539854186186945
6	2	flat	1156.71	5536615340	21596401424	4482826326	954886	29970000	15781539854186186945
7	1	flat	1075.92	5190941959	21596401662	4482826319	997978	29970000	15781539854186186945
7	2	binary-flat	401.77	1919946369	8042502784	1228957527	505900	29970000	15781539854186186945
8	1	binary-flat	378.83	1807753591	8042503428	1228957756	518617	29970000	15781539854186186945
8	2	flat	1081.20	5202060786	21596401424	4482826252	885524	29970000	15781539854186186945
9	1	flat	1073.11	5163653446	21596401778	4482826351	963669	29970000	15781539854186186945
9	2	binary-flat	284.16	1360114454	8042502369	1228957297	489111	29970000	15781539854186186945
10	1	binary-flat	284.33	1362439888	8042502728	1228957408	487603	29970000	15781539854186186945
10	2	flat	775.25	3728343205	21596401380	4482826010	1003230	29970000	15781539854186186945
11	1	flat	777.70	3736153937	21596400937	4482825870	920576	29970000	15781539854186186945
11	2	binary-flat	284.94	1362164390	8042502441	1228957309	502725	29970000	15781539854186186945
12	1	binary-flat	297.82	1430577938	8042502317	1228957297	490654	29970000	15781539854186186945
12	2	flat	774.98	3707962631	21596401398	4482826036	1127387	29970000	15781539854186186945
13	1	flat	797.23	3807584125	21596401141	4482825963	944538	29970000	15781539854186186945
13	2	binary-flat	284.12	1360116094	8042502927	1228957479	495674	29970000	15781539854186186945
14	1	binary-flat	287.10	1367328276	8042503001	1228957513	494993	29970000	15781539854186186945
14	2	flat	784.25	3756649482	21596401634	4482826120	1998777	29970000	15781539854186186945
15	1	flat	774.54	3716393101	21596400945	4482825843	1002502	29970000	15781539854186186945
15	2	binary-flat	287.42	1369065233	8042502552	1228957356	488379	29970000	15781539854186186945
