round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	290.90	1371924624	8042502637	1228957393	541295	29970000	15781539854186186945
1	2	candidate	258.92	1207119556	8162225839	1238947352	487088	29970000	15781539854186186945
2	1	candidate	320.08	1491319125	8162225822	1238947425	494277	29970000	15781539854186186945
2	2	parent	382.41	1791807057	8042502797	1228957533	538525	29970000	15781539854186186945
3	1	parent	358.40	1684506656	8042502639	1228957447	513286	29970000	15781539854186186945
3	2	candidate	327.45	1527201620	8162225869	1238947462	490285	29970000	15781539854186186945
4	1	candidate	308.96	1438972764	8162225814	1238947407	490876	29970000	15781539854186186945
4	2	parent	336.54	1590656543	8042502958	1228957530	499564	29970000	15781539854186186945
5	1	parent	287.50	1360540275	8042503116	1228957528	488309	29970000	15781539854186186945
5	2	candidate	271.23	1265394809	8162225636	1238947309	487107	29970000	15781539854186186945
6	1	candidate	261.92	1214323414	8162226324	1238947561	487839	29970000	15781539854186186945
6	2	parent	290.63	1369383699	8042503107	1228957523	488161	29970000	15781539854186186945
7	1	parent	289.80	1367635865	8042502997	1228957505	551053	29970000	15781539854186186945
7	2	candidate	259.14	1202701403	8162225770	1238947347	487120	29970000	15781539854186186945
8	1	candidate	258.40	1201711267	8162225902	1238947419	487496	29970000	15781539854186186945
8	2	parent	295.49	1399969927	8042502888	1228957452	844359	29970000	15781539854186186945
9	1	parent	294.71	1401266915	8042503324	1228957647	488292	29970000	15781539854186186945
9	2	candidate	266.28	1240330412	8162225876	1238947401	488457	29970000	15781539854186186945
10	1	candidate	315.80	1471901645	8162226467	1238947632	490051	29970000	15781539854186186945
10	2	parent	359.99	1695751843	8042503147	1228957619	495704	29970000	15781539854186186945
11	1	parent	404.60	1904932748	8042502599	1228957483	500665	29970000	15781539854186186945
11	2	candidate	358.54	1673290790	8162225734	1238947447	491801	29970000	15781539854186186945
12	1	candidate	374.40	1749555588	8162225848	1238947469	494439	29970000	15781539854186186945
12	2	parent	415.33	1955136935	8042503110	1228957637	500088	29970000	15781539854186186945
13	1	parent	395.85	1860836292	8042503005	1228957573	501323	29970000	15781539854186186945
13	2	candidate	375.27	1747749755	8162226358	1238947647	494169	29970000	15781539854186186945
14	1	candidate	367.32	1708647090	8162225615	1238947396	495328	29970000	15781539854186186945
14	2	parent	374.85	1771471963	8042502710	1228957465	507225	29970000	15781539854186186945
15	1	parent	398.62	1881550423	8042502644	1228957484	513658	29970000	15781539854186186945
15	2	candidate	351.63	1639595878	8162226129	1238947538	492867	29970000	15781539854186186945
