round	order	backend	threads	solves	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
1	1	parent	1	16	1906.66	8527051609	34064229405	6247391878	33972619	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
1	2	candidate	1	16	1880.33	8271207870	34064218133	6247389710	32636380	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
2	1	candidate	1	16	1908.22	8355437275	34064237611	6247394969	32815594	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
2	2	parent	1	16	1967.14	8430678333	34064229678	6247391874	33868037	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
3	1	parent	1	16	1940.57	8286362005	34064230507	6247392355	34058759	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
3	2	candidate	1	16	1896.08	8324266454	34064217155	6247390004	32177181	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
4	1	candidate	1	16	1918.42	8366631033	34064204998	6247386073	32453910	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
4	2	parent	1	16	2028.18	8519406716	34064311997	6247410876	33794035	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
5	1	parent	1	16	1988.15	8403825958	34064228003	6247391322	34136116	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
5	2	candidate	1	16	1941.18	8416479527	34064215593	6247389199	32603744	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
6	1	candidate	1	16	1966.22	8218338253	34064213242	6247388490	32756370	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
6	2	parent	1	16	1927.15	8318461711	34064238089	6247394080	33973241	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
7	1	parent	1	16	2034.05	8329974278	34064227552	6247391200	33923165	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
7	2	candidate	1	16	1973.05	8338182153	34064295879	6247407730	32580606	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
