round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	342.16	1535675256	8005341856	1239256493	176592	29970000	10870073630582440932
1	2	candidate	291.56	1319485755	5897460156	1388949973	221620	29970000	10870073630582440932
2	1	candidate	259.81	1143886464	5897460554	1388950079	249016	29970000	10870073630582440932
2	2	parent	322.70	1407987121	8005341233	1239256206	197377	29970000	10870073630582440932
3	1	parent	306.03	1328316254	8005341943	1239256427	188203	29970000	10870073630582440932
3	2	candidate	227.52	1001712892	5897460269	1388949954	212187	29970000	10870073630582440932
4	1	candidate	217.70	956969621	5897460282	1388949955	184830	29970000	10870073630582440932
4	2	parent	290.59	1273533973	8005341308	1239256233	179240	29970000	10870073630582440932
5	1	parent	276.12	1207949452	8005342151	1239256499	173566	29970000	10870073630582440932
5	2	candidate	335.62	1467582209	5897460274	1388949995	295936	29970000	10870073630582440932
6	1	candidate	293.20	1297207427	5897459835	1388949804	252158	29970000	10870073630582440932
6	2	parent	356.66	1619799035	8005341684	1239256417	185222	29970000	10870073630582440932
7	1	parent	378.43	1713656462	8005341794	1239256471	179829	29970000	10870073630582440932
7	2	candidate	294.92	1318754879	5897460384	1388950045	360612	29970000	10870073630582440932
8	1	candidate	345.55	1491891422	5897460472	1388950001	315467	29970000	10870073630582440932
8	2	parent	339.37	1482174096	8005341897	1239256422	204543	29970000	10870073630582440932
9	1	parent	344.76	1505670061	8005341976	1239256465	200101	29970000	10870073630582440932
9	2	candidate	220.47	978397863	5897460193	1388949914	203401	29970000	10870073630582440932
10	1	candidate	302.21	1345123215	5897460142	1388949955	243530	29970000	10870073630582440932
10	2	parent	342.44	1529613090	8005341637	1239256346	175508	29970000	10870073630582440932
11	1	parent	379.73	1703696882	8005341581	1239256366	184432	29970000	10870073630582440932
11	2	candidate	222.67	979561340	5897459938	1388949835	203968	29970000	10870073630582440932
12	1	candidate	299.19	1300975515	5897460497	1388950085	298303	29970000	10870073630582440932
12	2	parent	309.82	1344979840	8005342009	1239256474	184584	29970000	10870073630582440932
13	1	parent	432.68	1837588997	8005341224	1239256209	232859	29970000	10870073630582440932
13	2	candidate	245.96	1074531164	5897460279	1388949960	257356	29970000	10870073630582440932
14	1	candidate	317.77	1389563310	5897460282	1388949955	277829	29970000	10870073630582440932
14	2	parent	323.12	1432470012	8005341920	1239256437	180395	29970000	10870073630582440932
15	1	parent	304.50	1374278970	8005341453	1239256286	175232	29970000	10870073630582440932
15	2	candidate	239.37	1080792337	5897459531	1388949716	210927	29970000	10870073630582440932
