round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	324.97	1553379154	5887426071	1388948360	289497	29970000	6787825262560643446
1	2	candidate	308.96	1480605177	5048263324	969367725	338141	29970000	6787825262560643446
2	1	candidate	303.53	1455872324	5048263024	969367641	354585	29970000	6787825262560643446
2	2	parent	322.71	1543834750	5887425883	1388948324	303258	29970000	6787825262560643446
3	1	parent	327.05	1560209462	5887425639	1388948236	290097	29970000	6787825262560643446
3	2	candidate	308.21	1474344487	5048263499	969367844	390106	29970000	6787825262560643446
4	1	candidate	311.21	1488629220	5048263540	969367833	458445	29970000	6787825262560643446
4	2	parent	329.03	1570184292	5887426023	1388948364	304352	29970000	6787825262560643446
5	1	parent	324.04	1549663511	5887426054	1388948378	188506	29970000	6787825262560643446
5	2	candidate	278.37	1327890015	5048263043	969367624	430172	29970000	6787825262560643446
6	1	candidate	307.33	1468104566	5048262890	969367554	421408	29970000	6787825262560643446
6	2	parent	322.58	1545954827	5887425352	1388948133	186159	29970000	6787825262560643446
7	1	parent	321.32	1537865860	5887425676	1388948249	276323	29970000	6787825262560643446
7	2	candidate	308.30	1469143690	5048262824	969367589	277700	29970000	6787825262560643446
8	1	candidate	304.87	1459305149	5048262713	969367542	261745	29970000	6787825262560643446
8	2	parent	321.94	1540001488	5887425609	1388948234	193308	29970000	6787825262560643446
9	1	parent	212.25	994371134	5887425701	1388948166	206488	29970000	6787825262560643446
9	2	candidate	308.38	1469392949	5048263259	969367736	312832	29970000	6787825262560643446
10	1	candidate	307.65	1470066672	5048263124	969367677	529049	29970000	6787825262560643446
10	2	parent	324.24	1545646640	5887426235	1388948448	307804	29970000	6787825262560643446
11	1	parent	209.00	981926452	5887425187	1388947964	201395	29970000	6787825262560643446
11	2	candidate	197.61	922090926	5048262328	969367321	180619	29970000	6787825262560643446
12	1	candidate	194.24	905921170	5048262944	969367533	178253	29970000	6787825262560643446
12	2	parent	217.10	1006929337	5887425945	1388948251	185728	29970000	6787825262560643446
13	1	parent	271.51	1255736856	5887425241	1388948062	326623	29970000	6787825262560643446
13	2	candidate	208.34	979421604	5048262838	969367459	269023	29970000	6787825262560643446
14	1	candidate	283.54	1311141350	5048263447	969367752	401327	29970000	6787825262560643446
14	2	parent	251.42	1169331457	5887425635	1388948168	211530	29970000	6787825262560643446
15	1	parent	289.04	1331461063	5887426165	1388948378	224692	29970000	6787825262560643446
15	2	candidate	252.13	1167807715	5048263106	969367631	257999	29970000	6787825262560643446
