round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	2036.77	9676915587	58830557666	13883560261	1691159	299700000	15511924543790083375
1	2	candidate	1905.69	9068711713	50438954567	9687759367	2033157	299700000	15511924543790083375
2	1	candidate	2345.91	11123122371	50438955292	9687759958	2115699	299700000	15511924543790083375
2	2	parent	2608.72	12446961236	58830558248	13883560879	2005635	299700000	15511924543790083375
3	1	parent	2556.00	12157731103	58830559089	13883561064	2013127	299700000	15511924543790083375
3	2	candidate	2184.55	10411957149	50438955299	9687759802	2125538	299700000	15511924543790083375
4	1	candidate	2202.83	10447199741	50438955273	9687759821	2541102	299700000	15511924543790083375
4	2	parent	2369.53	11283961600	58830557592	13883560423	2033458	299700000	15511924543790083375
5	1	parent	2569.88	12198244669	58830559051	13883561122	2069636	299700000	15511924543790083375
5	2	candidate	2030.14	9612599711	50438955123	9687759686	2193538	299700000	15511924543790083375
6	1	candidate	2127.86	10132156247	50438955524	9687759868	2184216	299700000	15511924543790083375
6	2	parent	2608.64	12476820875	58830558379	13883560850	2372871	299700000	15511924543790083375
7	1	parent	2307.38	10938240992	58830558407	13883560687	2026443	299700000	15511924543790083375
7	2	candidate	2154.39	10205621644	50438955331	9687759810	2308491	299700000	15511924543790083375
