mode	round	order	backend	threads	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
one	1	1	parent	1	576.76	2724815283	8728157891	1473575354	13588811	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	1	2	candidate	1	639.96	3066964884	8727069767	1439487121	14817040	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	2	1	candidate	1	703.32	3370731053	8727069581	1439487106	14878053	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	2	2	parent	1	611.22	2900691278	8728157420	1473575168	13611272	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	3	1	parent	1	636.56	3029961595	8728157484	1473575163	13634035	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	3	2	candidate	1	700.08	3373775065	8727069536	1439487066	14890634	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	4	1	candidate	1	611.52	2951977414	8727069828	1439487149	14829489	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	4	2	parent	1	592.54	2836201897	8728157275	1473575048	13568443	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	5	1	parent	1	481.83	2334217880	8728157253	1473575001	13483425	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	5	2	candidate	1	539.07	2614677582	8727069672	1439487028	14782077	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	6	1	candidate	1	541.04	2609551615	8727070015	1439487131	14762020	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	6	2	parent	1	554.29	2647420281	8728156733	1473574860	13558379	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	7	1	parent	1	522.52	2500319350	8728156945	1473574910	13500893	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	7	2	candidate	1	540.37	2605872444	8727070393	1439487265	14756436	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
twelve	1	1	parent	12	1802.96	6477494437	13968158803	2356897859	22413527	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	1	2	candidate	12	1926.93	7055877009	14275635518	2353929336	24975901	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	2	1	candidate	12	2053.16	7499888443	15028652452	2478005930	26368145	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	2	2	parent	12	1790.34	6445299005	14227232969	2400610990	22742751	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	3	1	parent	12	1837.42	6600531771	15043518791	2538146534	24077027	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	3	2	candidate	12	1955.96	7196143422	14903420966	2457362395	26051610	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	4	1	candidate	12	1865.63	6853186533	14205459734	2342340663	24798454	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	4	2	parent	12	1680.87	6021768404	13730787981	2317007710	21928973	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	5	1	parent	12	1730.27	6277069261	14414457268	2432153333	23149611	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	5	2	candidate	12	1938.81	7121976483	14709390508	2425380230	25736611	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	6	1	candidate	12	1768.90	6519790971	13640285187	2249228890	23765620	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	6	2	parent	12	1817.68	6519553009	14415640905	2432356462	23150927	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	7	1	parent	12	1763.80	6327573875	14419499058	2433039519	23088182	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	7	2	candidate	12	1873.23	6873962874	14396934785	2373905983	25137556	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
