round	order	backend	threads	solves	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
1	1	parent	1	16	1982.89	8281506930	34064252720	6247399987	32652057	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
1	2	candidate	1	16	2018.05	8239778321	34064224038	6247391963	32859411	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
2	1	candidate	1	16	1960.66	8347712435	34064216821	6247389690	32967177	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
2	2	parent	1	16	1971.14	8172627429	34064236351	6247393857	32578175	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
3	1	parent	1	16	1979.56	8272755261	34064227111	6247391657	32468099	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
3	2	candidate	1	16	2005.20	8293805312	34064214595	6247388802	32755126	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
4	1	candidate	1	16	1982.01	8314321518	34064218549	6247389846	32794862	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
4	2	parent	1	16	1977.60	8326454690	34064219140	6247389310	32455990	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
5	1	parent	1	16	1987.91	8197510351	34064214163	6247387752	33178429	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
5	2	candidate	1	16	1994.13	8201326988	34064215811	6247389289	32760168	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
6	1	candidate	1	16	1986.39	8162217480	34064221028	6247390505	32790474	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
6	2	parent	1	16	2056.48	8409631764	34064224287	6247390690	32055508	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
7	1	parent	1	16	1958.03	8345074078	34064227573	6247391362	32634809	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
7	2	candidate	1	16	1955.20	8377123279	34064210726	6247387742	32794778	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
