mode	round	order	backend	threads	task_clock_ms	cycles	instructions	branches	branch_misses	cache_misses	output_sha256
one	1	1	parent	1	1104.60	5329533663	27155411150	5167789138	24718945	44015360	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	1	2	candidate	1	988.75	4710231856	27038387104	5149793947	13764732	42665861	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	1	candidate	1	980.26	4681664296	27038387443	5149794072	13749698	42415676	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	2	parent	1	1167.80	5410272819	27155410037	5167788885	24760059	45191964	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	1	parent	1	1113.51	5358079254	27155411087	5167789515	24727849	44178498	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	2	candidate	1	978.14	4687880270	27038387257	5149794001	13784173	42900673	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	1	candidate	1	961.51	4638381742	27038388083	5149794254	13890477	41923036	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	2	parent	1	1187.68	5553091981	27155411714	5167789582	24557278	44961104	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	1	parent	1	1120.48	5335186848	27155409993	5167788857	24814817	44014499	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	2	candidate	1	990.49	4771323560	27038388138	5149794319	13736492	42780746	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	1	candidate	1	984.46	4739292221	27038387551	5149794100	13991945	43202372	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	2	parent	1	1105.38	5260071590	27155410701	5167789031	24719575	43389859	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	1	parent	1	1108.92	5326092903	27155410505	5167788966	24753489	43574338	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	2	candidate	1	1001.66	4673287542	27038387366	5149794067	13913681	42751980	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
twelve	1	1	parent	12	4504.45	16014268463	44209944404	8419948661	43001184	71786586	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	1	2	candidate	12	3383.26	12013754529	46612992627	8887217421	24201968	71009718	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	1	candidate	12	3347.89	11927521082	46611390653	8886891965	24136726	69794339	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	2	parent	12	4870.41	17282980178	46882739384	8929479131	45826009	75119195	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	1	parent	12	5021.93	18127329124	46044469943	8769642966	45055644	74501907	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	2	candidate	12	3780.58	13416065178	46195979464	8807619996	23995506	71260002	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	1	candidate	12	3800.14	13483614974	45802063863	8732396390	23833122	71922042	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	2	parent	12	5008.57	18016561351	46060206245	8772658976	44992509	74715522	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	1	parent	12	5602.08	19864852174	44827882099	8537757044	43823466	72715449	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	2	candidate	12	3616.09	12678960603	43972166402	8383041490	22887987	70192579	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	1	candidate	12	3759.07	13149114571	43149000789	8225884511	22525418	69315058	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	2	parent	12	4891.86	17545552684	44011591801	8382155373	43288655	72190567	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	1	parent	12	4669.33	16748967448	44213169734	8420572661	42918240	71666043	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	2	candidate	12	3882.56	13820856755	46810648774	8924970026	24566930	74162016	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
