mode	round	order	backend	threads	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
one	1	1	parent	1	528.22	2525599663	8728157398	1473575045	13499235	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	1	2	candidate	1	622.30	2973764682	8579091496	1439488072	13525551	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	2	1	candidate	1	618.51	2957377508	8579090780	1439487803	13533883	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	2	2	parent	1	626.49	2996723948	8728158168	1473575368	13599718	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	3	1	parent	1	610.37	2917537568	8728157587	1473575128	13574866	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	3	2	candidate	1	496.34	2391036423	8579090677	1439487696	13454613	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	4	1	candidate	1	582.35	2801170112	8579090416	1439487648	13494351	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	4	2	parent	1	627.07	3003522736	8728157901	1473575267	13629617	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	5	1	parent	1	614.21	2918869856	8728157619	1473575166	13612576	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	5	2	candidate	1	543.42	2599939899	8579090581	1439487728	13477832	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	6	1	candidate	1	615.17	2921316232	8579091283	1439487983	13579519	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	6	2	parent	1	597.29	2831216131	8728157764	1473575242	13584240	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	7	1	parent	1	585.99	2802295715	8728157599	1473575153	13565859	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	7	2	candidate	1	475.39	2318767795	8579090909	1439487768	13429323	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
twelve	1	1	parent	12	1860.74	6656706779	14548457142	2454801109	23344858	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	1	2	candidate	12	1802.64	6495098755	14226520341	2385258131	23054105	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	2	1	candidate	12	1763.68	6349360137	14227991185	2385520553	23018334	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	2	2	parent	12	1778.94	6353715098	14407953254	2431000719	23101015	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	3	1	parent	12	1757.53	6355103724	14469692471	2441386421	23206364	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	3	2	candidate	12	1890.64	6772298927	14529109758	2435846102	23658520	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	4	1	candidate	12	1957.36	7007667655	14715379420	2467045088	23950876	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	4	2	parent	12	1800.55	6442982466	14224570413	2400130060	22767357	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	5	1	parent	12	1804.65	6474738425	14602575561	2463839567	23406982	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	5	2	candidate	12	1743.12	6250714379	13795991779	2313194101	22338242	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	6	1	candidate	12	1695.80	6086347614	13537469239	2269808755	21972400	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	6	2	parent	12	1737.39	6225132989	14031118012	2367495700	22482671	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	7	1	parent	12	1705.38	6105861303	13781019501	2325359248	21994610	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	7	2	candidate	12	1718.88	6166547364	13792079118	2312501461	22262062	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
