round	order	backend	threads	solves	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
1	1	parent	1	16	1870.86	8674552266	34231017243	6280100394	39723674	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
1	2	candidate	1	16	2073.33	9608076946	34231049256	6280109807	34123256	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
2	1	candidate	1	16	2175.62	10133587529	34231028674	6280102987	33112058	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
2	2	parent	1	16	2299.04	10675596465	34231009121	6280098629	38122146	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
3	1	parent	1	16	2156.35	10022586844	34231013474	6280099620	39340110	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
3	2	candidate	1	16	2152.19	10026651958	34231040662	6280106337	33088006	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
4	1	candidate	1	16	1800.82	8363834229	34231029768	6280102882	37529701	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
4	2	parent	1	16	1867.98	8689020002	34231020080	6280101587	38267832	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
5	1	parent	1	16	2067.52	9659814650	34231021186	6280101629	37766620	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
5	2	candidate	1	16	2285.36	10647039131	34231032767	6280104326	32789685	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
6	1	candidate	1	16	2187.91	10174719207	34231024808	6280101841	33654803	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
6	2	parent	1	16	2125.33	9936316363	34231016079	6280100347	38567443	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
7	1	parent	1	16	2049.65	9553831556	34231018842	6280101159	40061314	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
7	2	candidate	1	16	2071.37	9636156114	34231025169	6280101815	34486898	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
