round	order	backend	threads	solves	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
1	1	parent	1	16	2001.37	9328884756	34231052406	6280108965	34886996	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
1	2	candidate	1	16	2087.94	9735850860	34231045182	6280106972	32359430	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
2	1	candidate	1	16	1869.46	8734940407	34231045492	6280106951	35104036	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
2	2	parent	1	16	1938.48	9042001556	34231017071	6280099285	36183425	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
3	1	parent	1	16	1997.55	9295823590	34231028923	6280102541	35529207	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
3	2	candidate	1	16	2187.69	10037682400	34231032025	6280102690	32926342	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
4	1	candidate	1	16	2387.89	10949050078	34231046132	6280106963	35325390	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
4	2	parent	1	16	2133.36	9829915092	34231025520	6280101763	35365278	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
5	1	parent	1	16	1925.46	8869209904	34231031603	6280103014	34924790	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
5	2	candidate	1	16	1913.38	8882460515	34231041807	6280104957	35933464	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
6	1	candidate	1	16	2022.06	9363517671	34231048754	6280106911	33498100	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
6	2	parent	1	16	2094.69	9776076040	34231034786	6280104012	34436018	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
7	1	parent	1	16	1808.78	8458716817	34231017919	6280099243	34164410	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
7	2	candidate	1	16	2159.67	10027298202	34231037871	6280103948	33487259	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
