mode	round	order	backend	threads	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
one	1	1	parent	1	1044.79	4941433329	12088724838	2233287342	13209021	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	1	2	candidate	1	987.79	4606615629	11640516152	2252461511	14160728	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	2	1	candidate	1	870.29	4098885361	11640514985	2252460922	13984226	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	2	2	parent	1	982.10	4576534170	12088725311	2233287474	13200050	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	3	1	parent	1	846.31	3969527955	12088724072	2233286943	13106653	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	3	2	candidate	1	960.47	4454632900	11640515718	2252461266	13787863	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	4	1	candidate	1	944.53	4376645321	11640515619	2252461194	13785362	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	4	2	parent	1	933.95	4350085075	12088724745	2233287220	13186019	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	5	1	parent	1	910.38	4254682850	12088724435	2233287109	13063990	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	5	2	candidate	1	1155.55	5233792390	11640516499	2252461598	13836195	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	6	1	candidate	1	1181.43	5365083387	11640516155	2252461490	13773297	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	6	2	parent	1	968.03	4533051567	12088724703	2233287286	13182325	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	7	1	parent	1	932.83	4304162007	12088724247	2233287017	13092789	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	7	2	candidate	1	961.08	4432500864	11640516355	2252461411	13872885	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
twelve	1	1	parent	12	2929.10	10390259933	20569151683	3799981194	22845273	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	1	2	candidate	12	2734.70	9634275619	18853043870	3649668192	22326717	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	2	1	candidate	12	2836.43	9978263452	19194523495	3715975857	22915174	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	2	2	parent	12	2876.26	10143143672	19849381899	3666989599	22068559	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	3	1	parent	12	2912.04	10271502934	20479979348	3783486987	22653699	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	3	2	candidate	12	2759.69	9889898318	19194397452	3715945311	23079398	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	4	1	candidate	12	2467.89	8809464371	18941607308	3666845535	22506417	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	4	2	parent	12	2892.91	10331019654	20304297159	3751029329	22571988	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	5	1	parent	12	2836.23	10209333591	20567910834	3799713629	22881127	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	5	2	candidate	12	2644.74	9438636067	19795901129	3832693106	23607233	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	6	1	candidate	12	2629.73	9365186313	18857484091	3650527086	22388363	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	6	2	parent	12	2917.42	10378020940	20474433337	3782436299	22845709	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	7	1	parent	12	2770.53	9764088478	20570879545	3800255511	22914738	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
twelve	7	2	candidate	12	2805.49	9950506944	19280214463	3732609818	23217054	31620a52aac4d62e41dfe0a56b2c875bcf992dec507ba67f081dae03b468fbc2
one	8	1	candidate	1	948.56	4515374309	11640515294	2252460998	13818565	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	8	2	parent	1	950.70	4513684307	12088723621	2233286771	13205479	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	9	1	parent	1	879.86	4189818091	12088725262	2233287273	13134598	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	9	2	candidate	1	825.00	3923651100	11640515798	2252461039	13347319	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	10	1	candidate	1	837.44	3992939689	11640515747	2252461057	13394483	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
