round	order	backend	repeats	task_clock_ms	cycles	instructions	branches	branch_misses
1	1	parent	16	1918.86	8498542794	34230339538	6279953210	34754748
1	2	candidate	16	1823.99	8189653978	34230306746	6279945973	31439783
2	1	candidate	16	1943.71	8706944424	34230313313	6279947393	30696608
2	2	parent	16	1912.28	8465429313	34230330829	6279950807	34729621
3	1	parent	16	1855.85	8371505248	34230344840	6279953737	33890592
3	2	candidate	16	1841.85	8347672010	34230293078	6279941826	30691205
4	1	candidate	16	1873.69	8429985786	34230304610	6279945215	31069272
4	2	parent	16	1865.04	8385987986	34230363485	6279959590	32430362
5	1	parent	16	1912.50	8528054945	34230326680	6279949630	34300526
5	2	candidate	16	1899.23	8283135608	34230295035	6279942343	29829513
6	1	candidate	16	1938.96	8365023671	34230302937	6279944814	29901175
6	2	parent	16	1887.87	8355988970	34230323629	6279948721	34245572
7	1	parent	16	1863.42	8330365646	34230351919	6279956440	33613965
7	2	candidate	16	1838.21	8227313648	34230293759	6279941819	31122531
