mode	round	order	backend	threads	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
one	1	1	parent	1	1761.32	8448305054	33729467386	6184666783	29121534	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	1	2	candidate	1	1758.55	8309519256	34942196343	6184666179	28721897	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	1	candidate	1	1752.79	8359406189	34942196373	6184666242	28105012	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	2	parent	1	1749.81	8491573220	33729466717	6184666552	28956613	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	1	parent	1	1968.42	9041562215	33729468423	6184667816	30819949	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	2	candidate	1	1716.26	8257895961	34942195640	6184665932	28141954	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	1	candidate	1	1759.41	8490932859	34942195375	6184665863	33709998	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	2	parent	1	1780.34	8545972300	33729467418	6184666874	34019080	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	1	parent	1	1777.57	8572960790	33729466789	6184666611	34826441	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	2	candidate	1	1739.13	8299082740	34942196462	6184666219	27898628	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	1	candidate	1	1725.30	8236519082	34942195802	6184666011	28170330	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	2	parent	1	1770.15	8483598781	33729467454	6184666903	28859971	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	1	parent	1	1804.78	8695724038	33729467783	6184667002	30108035	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	2	candidate	1	1791.49	8381873479	34942196299	6184666218	28367983	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
twelve	1	1	parent	12	6426.92	23316670122	54716405337	10036297248	52822095	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	1	2	candidate	12	5663.52	20334590932	58825638975	10414608091	50461628	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	1	candidate	12	5888.63	20404356864	56442908360	9992746021	49204789	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	2	parent	12	6920.69	25067269045	57523936650	10551243088	54753053	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	1	parent	12	6669.04	24080667471	56766454712	10412542507	54109521	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	2	candidate	12	5699.55	20517494495	59340245117	10505687953	51189721	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	1	candidate	12	5635.06	20329124103	59877168560	10600766908	51750150	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	2	parent	12	6515.69	23202108106	55493772085	10178914376	52332340	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	1	parent	12	6850.95	24678311466	56249797271	10317554332	54246520	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	2	candidate	12	5533.70	19787860453	57222262997	10130696546	49441406	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	1	candidate	12	5677.97	20179706371	58810758508	10411942338	50563843	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	2	parent	12	6625.94	23844484087	56246089798	10316854965	52743979	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	1	parent	12	7039.02	25213129541	57275627542	10505726212	54480648	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	2	candidate	12	5920.34	20571853397	57759119744	10225760514	49426156	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
