mode	round	order	backend	threads	wall_seconds	peak_rss_kib	output_sha256
one	1	1	parent	1	1.80	12996	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	1	2	candidate	1	1.71	10880	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	1	candidate	1	1.74	11188	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	2	parent	1	1.76	12824	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	1	parent	1	1.78	13040	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	2	candidate	1	1.76	10928	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	1	candidate	1	1.73	11112	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	2	parent	1	2.26	13108	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	1	parent	1	4.53	12968	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	2	candidate	1	4.52	11060	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	1	candidate	1	3.40	11092	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	2	parent	1	3.14	13036	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	1	parent	1	4.52	12936	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	2	candidate	1	4.46	11032	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
twelve	1	1	parent	12	0.81	101004	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	1	2	candidate	12	0.90	78528	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	1	candidate	12	0.84	78364	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	2	parent	12	0.86	102592	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	1	parent	12	0.98	102568	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	2	candidate	12	1.07	77524	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	1	candidate	12	0.97	77084	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	2	parent	12	1.05	101652	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	1	parent	12	1.17	101736	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	2	candidate	12	1.13	78616	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	1	candidate	12	1.02	78456	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	2	parent	12	1.11	102052	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	1	parent	12	1.00	101356	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	2	candidate	12	0.82	77332	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
