round	order	backend	repeats	task_clock_ms	cycles	instructions	branches	branch_misses
1	1	parent	16	4347.69	12550998330	34230318264	6279949583	30990362
1	2	candidate	16	4239.74	12526395853	34230316058	6279949044	30245431
2	1	candidate	16	3935.96	11521733897	34230306033	6279945996	30081824
2	2	parent	16	4173.26	12334960585	34230313710	6279949133	31532239
3	1	parent	16	4308.36	12576761754	34230315842	6279948605	30837701
3	2	candidate	16	4250.25	12512933639	34230302908	6279945351	29941379
4	1	candidate	16	4254.24	12509726263	34230317471	6279949487	29931359
4	2	parent	16	3659.73	10633394271	34230298525	6279944120	32637609
5	1	parent	16	4347.23	11898771015	34230304372	6279946852	32031428
5	2	candidate	16	3172.76	9423954307	34230312404	6279947202	30998108
6	1	candidate	16	4349.18	12345790701	34230308797	6279947232	29933746
6	2	parent	16	4457.24	12540213121	34230331068	6279953577	31361351
7	1	parent	16	4450.95	12549372026	34230300464	6279945242	30689735
7	2	candidate	16	4677.76	12497896296	34230308245	6279946981	29910861
