mode	round	order	backend	threads	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
one	1	1	parent	1	5578.28	13809319362	34942200257	6184670340	30034848	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	1	2	candidate	1	3889.49	9693380797	34959241048	6184668285	28585875	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	1	candidate	1	4115.72	10125905789	34959240584	6184668277	29183239	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	2	parent	1	4179.34	10311438346	34942198643	6184668461	33462370	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	1	parent	1	3844.76	9535569846	34942198193	6184668108	31327042	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	2	candidate	1	3845.24	9539334728	34959240375	6184667984	28592843	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	1	candidate	1	4226.47	13273595402	34959241487	6184668778	28374880	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	2	parent	1	5295.23	13637822371	34942200488	6184670211	28075654	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	1	parent	1	5177.98	13887518833	34942199252	6184669372	29713143	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	2	candidate	1	4549.49	13701451472	34959241133	6184668810	28338060	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	1	candidate	1	4513.33	13780667921	34959241540	6184668877	28294192	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	2	parent	1	4672.03	13776621823	34942199197	6184669054	28327982	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	1	parent	1	5332.96	13870253410	34942199836	6184669652	28291544	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	2	candidate	1	4667.57	13856021922	34959241610	6184669023	28317735	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
twelve	1	1	parent	12	8376.80	26575300796	59082966876	10460168363	51153800	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	1	2	candidate	12	7908.41	26262071280	58316327898	10319498683	50902160	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	1	candidate	12	8818.31	27044060086	56999401670	10086463131	49461002	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	2	parent	12	8488.07	25878059104	57761947437	10226406214	50013588	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	1	parent	12	8281.55	26751820598	59351478552	10507721383	51344861	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	2	candidate	12	8004.26	25736920099	57260365830	10132631691	49757830	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	1	candidate	12	8461.10	27101705005	61230903567	10835145265	53203071	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	2	parent	12	8057.47	27682255891	60674125421	10742012499	52996512	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	1	parent	12	8045.58	25861725786	56715176631	10040980422	49172618	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	2	candidate	12	7749.15	25749962998	57257839121	10132062307	49614360	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	1	candidate	12	8330.49	27474044211	60973520840	10789615946	52541074	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	2	parent	12	7646.51	25404051433	55898666461	9896371437	48452779	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	1	parent	12	8072.10	25857591465	57479841427	10176302351	50117813	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	2	candidate	12	8429.84	26493719710	59104478523	10458833923	51220871	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
