round	order	backend	threads	solves	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
1	1	parent	1	16	1935.16	8209028163	34064222337	6247392235	32901942	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
1	2	candidate	1	16	1953.26	8530255392	34064223348	6247392045	32784617	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
2	1	candidate	1	16	1803.24	8119147372	34064206464	6247387502	32913672	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
2	2	parent	1	16	1799.68	8096619230	34064201796	6247385504	33068645	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
3	1	parent	1	16	1845.18	8218079406	34064213143	6247388508	32939739	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
3	2	candidate	1	16	1836.84	8243407397	34064217042	6247389977	32883132	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
4	1	candidate	1	16	1838.17	8165174910	34064205934	6247387162	32868021	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
4	2	parent	1	16	1845.17	8142205781	34064202150	6247385530	32823253	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
5	1	parent	1	16	1855.20	8244298043	34064201931	6247385548	32918257	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
5	2	candidate	1	16	1831.32	8133835377	34064199057	6247385132	32862676	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
6	1	candidate	1	16	1830.83	8194750734	34064196714	6247384292	33009374	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
6	2	parent	1	16	1843.13	8232432802	34064199030	6247384566	32821082	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
7	1	parent	1	16	1883.44	8343377244	34064213748	6247389289	32839604	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
7	2	candidate	1	16	1858.31	8164682929	34064219795	6247390343	33003366	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
