mode	round	order	backend	threads	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
one	1	1	parent	1	998.30	4675698600	27038387525	5149794063	13838495	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	1	2	candidate	1	833.39	3954926393	13976820361	2985267079	13334895	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	1	candidate	1	828.69	3964930471	13976821047	2985267258	13333102	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	2	parent	1	986.78	4686204459	27038388105	5149794290	13754272	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	1	parent	1	981.64	4720900077	27038388050	5149794255	13838320	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	2	candidate	1	831.27	3911479913	13976820888	2985267210	13468615	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	1	candidate	1	837.67	3993812166	13976821031	2985267285	13420778	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	2	parent	1	1014.35	4788847068	27038387384	5149794091	13782536	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	1	parent	1	1080.67	5038167436	27038388621	5149794698	13892881	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	2	candidate	1	862.15	4054394559	13976821615	2985267642	13323312	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	1	candidate	1	897.22	4189817161	13976820915	2985267402	13502955	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	2	parent	1	1110.12	5034175059	27038388239	5149794551	13953830	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	1	parent	1	1156.90	5287722813	27038387511	5149794319	14005833	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	2	candidate	1	1401.54	5113569245	13976821603	2985267855	13413053	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
twelve	1	1	parent	12	3540.92	12348748589	44171338324	8421072620	22915231	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	1	2	candidate	12	2787.38	10068846220	23086697468	4946675703	22620803	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	1	candidate	12	3591.63	12709630054	23292133473	4991115378	23011011	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	2	parent	12	6086.26	21062079005	43970727975	8382798453	23455358	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	1	parent	12	6143.38	21392958673	45388274435	8653386810	24340868	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	2	candidate	12	5098.68	17304658049	22767755445	4877992863	23103447	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	1	candidate	12	4694.05	16321287106	22465506269	4812739610	22729138	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	2	parent	12	6281.82	20955089675	46810620783	8924936701	24669600	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	1	parent	12	4384.97	14959352711	45814766977	8734840500	23830265	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	2	candidate	12	3144.72	10961028745	23396657660	5013497272	22903801	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	1	candidate	12	3614.94	12755350806	22467215285	4813175806	22579123	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	2	parent	12	3563.64	12413128014	44171387968	8421079763	22853374	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	1	parent	12	3112.59	11218369244	45190608723	8615666747	23387435	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	2	candidate	12	2671.40	9400087429	22978901697	4923517997	22451945	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
