round	order	backend	threads	solves	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
1	1	parent	1	16	1675.89	8043540876	34231019668	6280099362	31657122	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
1	2	candidate	1	16	1700.43	8155018689	34231055465	6280108118	34132635	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
2	1	candidate	1	16	1942.35	9292542770	34231046357	6280105818	33903194	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
2	2	parent	1	16	2262.90	10811969985	34231027867	6280102138	31204557	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
3	1	parent	1	16	2067.12	9931517391	34231044485	6280106493	30276272	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
3	2	candidate	1	16	2207.71	10573954024	34231038410	6280103909	34281952	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
4	1	candidate	1	16	1937.60	9308959924	34231035734	6280103070	35173305	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
4	2	parent	1	16	2061.32	9877284559	34231035988	6280104841	32851252	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
5	1	parent	1	16	2077.73	9935217689	34231024133	6280100853	31742758	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
5	2	candidate	1	16	2098.24	10064359380	34231038700	6280103997	33820179	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
6	1	candidate	1	16	2192.89	10547439719	34231050774	6280107233	33533514	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
6	2	parent	1	16	2267.86	10871497133	34231040326	6280106252	30692921	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
7	1	parent	1	16	2142.25	10297153038	34231022183	6280100565	30888250	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
7	2	candidate	1	16	2012.15	9626068791	34231047272	6280106321	34332152	ca9870d024b71fcb2b2b2eb429e75afc26e83f408d7ee5793c6ef8142c04cdf4
