round	order	backend	threads	solves	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
1	1	baseline	1	16	2564.45	8358550481	34230236883	6279928950	39305979	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
1	2	candidate	1	16	2514.29	8166776687	34230229571	6279927931	33640226	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
2	1	candidate	1	16	2534.89	8241603967	34230241892	6279931202	36857377	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
2	2	baseline	1	16	2563.10	8357716587	34230221925	6279925894	39993026	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
3	1	baseline	1	16	2553.38	8319910718	34230230735	6279928178	37772733	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
3	2	candidate	1	16	2533.13	8253087581	34230234219	6279929528	37364485	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
4	1	candidate	1	16	2530.87	8252417080	34230234588	6279929284	38240799	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
4	2	baseline	1	16	2570.29	8375597280	34230267822	6279937774	40375922	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
5	1	baseline	1	16	2573.79	8382296552	34230229195	6279927708	40130052	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
5	2	candidate	1	16	2536.64	8263887555	34230232169	6279928484	37301111	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
6	1	candidate	1	16	2520.66	8216250255	34230225471	6279926750	35869307	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
6	2	baseline	1	16	2566.55	8364152413	34230227776	6279927394	38384455	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
7	1	baseline	1	16	2555.90	8333724102	34230234793	6279930045	39366624	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
7	2	candidate	1	16	2532.99	8249630077	34230228214	6279927370	37524643	5caadd631f061898a083c864bd270118427394e2f750da3522bc95aadbde8679
