mode	round	order	backend	threads	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
one	1	1	baseline	1	1470.29	5781208928	25778523249	5064322216	14297516	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	1	2	candidate	1	1801.62	6390979993	25778524330	5064322716	14139478	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	1	candidate	1	1143.01	4984011770	25778523882	5064322178	14084467	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	2	2	baseline	1	1077.55	4720227766	25778523486	5064321874	14279720	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	1	baseline	1	984.24	4668035499	25778523189	5064321734	14277945	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	3	2	candidate	1	945.03	4402868760	25778523975	5064322223	14056225	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	1	candidate	1	916.71	4383354263	25778523064	5064321638	14315901	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	4	2	baseline	1	1086.78	4760400942	25778523453	5064321892	14316059	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	1	baseline	1	979.92	4662116970	25778524073	5064322192	14442976	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	5	2	candidate	1	1367.19	4489109117	25778524103	5064322402	14162408	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	1	candidate	1	1134.91	4546517336	25778523636	5064322113	14126256	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	6	2	baseline	1	996.34	4762820959	25778524012	5064322133	14318353	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	1	baseline	1	1102.23	4843534703	25778523516	5064322033	14374438	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
one	7	2	candidate	1	1069.05	4454020516	25778523508	5064321966	14096493	8967f631f5c0304a07eb9afc77bc1eee9b5fea3d95654f1bfe64156d51180d7e
twelve	1	1	baseline	12	3372.20	11906289634	42536269607	8356966370	24044345	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	1	2	candidate	12	3022.37	10581468131	42147039278	8280414123	23140571	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	1	candidate	12	3248.70	11392717083	44487932866	8740770294	24648067	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	2	2	baseline	12	3381.96	11845499985	42142341098	8279548424	23796869	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	1	baseline	12	3370.98	11790334485	42716394535	8392545033	24124637	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	3	2	candidate	12	3285.16	11476468422	45060689910	8853460362	24870869	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	1	candidate	12	3192.39	11140406967	42725921203	8394312916	23541507	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	4	2	baseline	12	3268.30	11438491805	43113108599	8470516571	24190810	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	1	baseline	12	3282.45	11499430889	42722861532	8393715104	23960436	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	5	2	candidate	12	3047.53	10629463826	40188903156	7895451827	22183030	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	1	candidate	12	3060.79	10664053226	41751738373	8202696078	23047872	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	6	2	baseline	12	3256.72	11401347280	42336907952	8317806789	23776164	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	1	baseline	12	3579.13	12510259953	44864560838	8814854034	25372279	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
twelve	7	2	candidate	12	3234.82	11264632232	44666703428	8776037843	24570051	b567f15d21197c9008d73182063c5130c0cd3af78f6accfda6d68bc430b4fe21
