round	order	backend	threads	solves	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
1	1	parent	1	16	1924.09	8641465663	34064740975	6247499744	32803022	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
1	2	candidate	1	16	1880.80	8489921128	34064737391	6247496499	32874063	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
2	1	candidate	1	16	1927.26	8391873835	34064739727	6247497216	33468714	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
2	2	parent	1	16	1810.08	8208816679	34064739730	6247497885	33091331	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
3	1	parent	1	16	1822.99	8226892297	34064725357	6247494331	33028857	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
3	2	candidate	1	16	1843.07	8320939364	34064775585	6247506953	32862506	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
4	1	candidate	1	16	1873.98	8310684802	34064766627	6247504528	33034078	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
4	2	parent	1	16	1889.88	8483560117	34064721840	6247493035	32784567	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
5	1	parent	1	16	1847.38	8162942617	34064724673	6247494069	32854404	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
5	2	candidate	1	16	1885.15	8411428346	34064743383	6247498220	32800899	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
6	1	candidate	1	16	1895.76	8297177097	34064826179	6247517382	32883832	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
6	2	parent	1	16	1902.30	8202709265	34064722178	6247493130	33038580	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
7	1	parent	1	16	1992.95	8548250368	34064719680	6247492509	33031447	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
7	2	candidate	1	16	1976.40	8560815737	34064749126	6247500237	32883163	3dddf4e838ec6becb75bc246ae4b503a2bc7217b0e87c734bf14fab567caa24b
