round	order	backend	repetitions	elapsed_ns	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	100	3226517125	12803699715	46858004217	4815789191	2897239	1638300	500
1	2	candidate	100	3197847866	12830989092	46858004259	4815789151	3126320	1638300	500
2	1	candidate	100	3526174680	12845812037	46858004072	4815789170	2366148	1638300	500
2	2	parent	100	3373624150	12922244043	46858004806	4815789111	2534979	1638300	500
3	1	parent	100	3326749931	12913905119	46858003946	4815788772	2426006	1638300	500
3	2	candidate	100	3284003529	12992190016	46858003420	4815788382	2855527	1638300	500
4	1	candidate	100	3424140152	12877164099	46858004354	4815789668	2286058	1638300	500
4	2	parent	100	3167090762	10589607834	46858003512	4815788238	2868751	1638300	500
5	1	parent	100	1921890826	6818222976	46858001797	4815786847	3958946	1638300	500
5	2	candidate	100	3367385394	12260980402	46858003638	4815788468	3477129	1638300	500
6	1	candidate	100	1936826905	6859167010	46858001657	4815786808	2500845	1638300	500
6	2	parent	100	1917917229	6678617583	46858002735	4815787160	2240613	1638300	500
7	1	parent	100	3571355019	12991389124	46858003705	4815788623	2272812	1638300	500
7	2	candidate	100	3566341477	13045312946	46858004020	4815788730	2331950	1638300	500
