src/css_distance.rs:1415:13: replace > with == in CompiledWideCssDistanceImpl<SUPPORT_WORDS, CHECK_WORDS, LOGICAL_WORDS>::completion_lower_bound_exceeds
src/css_distance.rs:1406:41: replace && with || in CompiledWideCssDistanceImpl<SUPPORT_WORDS, CHECK_WORDS, LOGICAL_WORDS>::completion_lower_bound_exceeds
src/css_distance.rs:1398:90: replace & with ^ in CompiledWideCssDistanceImpl<SUPPORT_WORDS, CHECK_WORDS, LOGICAL_WORDS>::completion_lower_bound_exceeds
src/css_distance.rs:1395:9: replace CompiledWideCssDistanceImpl<SUPPORT_WORDS, CHECK_WORDS, LOGICAL_WORDS>::completion_lower_bound_exceeds -> bool with false
src/css_distance.rs:1398:71: replace ^ with | in CompiledWideCssDistanceImpl<SUPPORT_WORDS, CHECK_WORDS, LOGICAL_WORDS>::completion_lower_bound_exceeds
src/css_distance.rs:1398:90: replace & with | in CompiledWideCssDistanceImpl<SUPPORT_WORDS, CHECK_WORDS, LOGICAL_WORDS>::completion_lower_bound_exceeds
src/css_distance.rs:1406:51: replace != with == in CompiledWideCssDistanceImpl<SUPPORT_WORDS, CHECK_WORDS, LOGICAL_WORDS>::completion_lower_bound_exceeds
src/css_distance.rs:1406:36: replace != with == in CompiledWideCssDistanceImpl<SUPPORT_WORDS, CHECK_WORDS, LOGICAL_WORDS>::completion_lower_bound_exceeds
src/css_distance.rs:1415:13: replace > with < in CompiledWideCssDistanceImpl<SUPPORT_WORDS, CHECK_WORDS, LOGICAL_WORDS>::completion_lower_bound_exceeds
src/css_distance.rs:1398:71: replace ^ with & in CompiledWideCssDistanceImpl<SUPPORT_WORDS, CHECK_WORDS, LOGICAL_WORDS>::completion_lower_bound_exceeds
src/css_distance.rs:1415:13: replace > with >= in CompiledWideCssDistanceImpl<SUPPORT_WORDS, CHECK_WORDS, LOGICAL_WORDS>::completion_lower_bound_exceeds
