round	order	backend	repetitions	elapsed_ns	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	100000	970647873	4506823889	14663159339	954668652	558210	500000	13118753687894960896
1	2	candidate	100000	923121365	4388118907	14663159261	954668552	530797	500000	13118753687894960896
2	1	candidate	100000	892741174	4335146329	14663158528	954668220	522651	500000	13118753687894960896
2	2	parent	100000	932387309	4465338933	14663158603	954668344	531776	500000	13118753687894960896
3	1	parent	100000	927574023	4423717678	14663158794	954668411	554832	500000	13118753687894960896
3	2	candidate	100000	916909047	4330042840	14663158717	954668320	529590	500000	13118753687894960896
4	1	candidate	100000	944481315	4466948557	14663159018	954668473	539541	500000	13118753687894960896
4	2	parent	100000	893207864	4379380126	14663158501	954668230	518684	500000	13118753687894960896
5	1	parent	100000	902674551	4352451020	14663159241	954668502	517319	500000	13118753687894960896
5	2	candidate	100000	912382236	4374808211	14663158585	954668249	525741	500000	13118753687894960896
6	1	candidate	100000	900967045	4317305989	14663158606	954668213	516329	500000	13118753687894960896
6	2	parent	100000	944507597	4376334551	14663158896	954668361	536575	500000	13118753687894960896
7	1	parent	100000	925301428	4361769151	14663158309	954668142	531179	500000	13118753687894960896
7	2	candidate	100000	964161220	4483479143	14663158649	954668289	539669	500000	13118753687894960896
