workload	threads	pair	order	arm	task_clock_ms	cycles	instructions	branches	branch_misses	search_seconds
lp1768-x-w14	1	1	1	baseline	7351.46	35923265039	57873191323	7787526753	280437311	7.255338282
lp1768-x-w14	1	1	2	candidate	6868.13	33439734846	47077210852	6628706272	388394719	6.774680022
lp1768-x-w14	1	2	2	baseline	7297.04	35661805042	57873198582	7787526023	278914665	7.224226603
lp1768-x-w14	1	2	1	candidate	6897.79	33583873669	47077210595	6628706083	387674459	6.803556709
lp1768-x-w14	1	3	1	baseline	7544.82	36795973978	57873198964	7787526277	281314052	7.450580157
lp1768-x-w14	1	3	2	candidate	6712.75	32703896818	47077210937	6628706896	388592689	6.638276412
lp1768-x-w14	1	4	2	baseline	6981.43	34144308386	57873188632	7787523884	278821891	6.91099459
lp1768-x-w14	1	4	1	candidate	6662.90	32464697285	47077209908	6628705776	386252978	6.572167938
lp1768-x-w14	1	5	1	baseline	6828.85	33366139889	57873198875	7787525804	278901981	6.737088279
lp1768-x-w14	1	5	2	candidate	7193.47	34985781414	47077210892	6628706500	388478494	7.10130885
lp1768-x-w14	1	6	2	baseline	7650.89	37275642358	57873199211	7787526496	280677843	7.558087825
lp1768-x-w14	1	6	1	candidate	7057.87	34338747504	47077221516	6628708914	389194824	6.978560549
lp1768-x-w14	1	7	1	baseline	7219.52	35286059829	57873188814	7787524065	279209010	7.145497103
lp1768-x-w14	1	7	2	candidate	6519.60	31757838383	47077209871	6628705615	386226452	6.449785264
lp1768-x-w14	12	1	1	baseline	28860.92	108332555051	172623168632	23408799772	858387680	2.967853339
lp1768-x-w14	12	1	2	candidate	27378.91	98434201836	139890596599	19834451341	1151406272	2.8654332279999997
lp1768-x-w14	12	2	2	baseline	29123.10	105561488295	172623271504	23408762837	847958605	2.975976082
lp1768-x-w14	12	2	1	candidate	26941.52	98848854964	139891729535	19834716592	1154610571	2.848743416
lp1768-x-w14	12	3	1	baseline	30279.94	106328367806	172627141049	23409590663	850310998	3.069023233
lp1768-x-w14	12	3	2	candidate	27435.73	98525033106	139893662461	19835127231	1148163412	2.87810603
lp1768-x-w14	12	4	2	baseline	28885.65	107688816541	172626716439	23409484915	856341909	2.932076141
lp1768-x-w14	12	4	1	candidate	27531.06	98520701841	139890465337	19834417335	1147411922	2.916755455
lp1768-x-w14	12	5	1	baseline	29690.87	106166396615	172628668360	23409891131	850652903	2.996201745
lp1768-x-w14	12	5	2	candidate	27441.98	98558495629	139891436692	19834657159	1151347422	2.882504744
lp1768-x-w14	12	6	2	baseline	29559.24	105550745758	172626486585	23409444703	846706203	3.020051435
lp1768-x-w14	12	6	1	candidate	27887.63	97355987048	139889156423	19834183179	1143124576	2.974831542
lp1768-x-w14	12	7	1	baseline	29819.56	105863170089	172625159316	23409158845	848530866	3.018040365
lp1768-x-w14	12	7	2	candidate	27326.06	98006762887	139890809394	19834527298	1148200008	2.875649732
