round	variant	seed	candidates	duration_ns	task_clock_ms	cycles	instructions	branches	branch_misses	cache_misses
0	baseline	none	109046916	6015370534	5992.24	29391182468	58214517970	7264901651	420217494	1579477
0	candidate	none	109046916	5981893451	5977.83	29308300474	58214757599	7264916196	439798174	1499979
1	candidate	none	109046916	5903872264	5900.71	29293888367	58214748283	7264914121	438194449	1425128
1	baseline	none	109046916	5976809042	5973.78	29459992060	58214527577	7264904429	423975049	1406571
2	baseline	none	109046916	6118389721	6114.49	29616834664	58214531127	7264908094	426981513	1633733
2	candidate	none	109046916	6022807754	6019.06	29270723876	58214758513	7264917353	438624028	1647486
3	candidate	none	109046916	6027501878	6025.11	29348067647	58214758293	7264916890	439998034	1346653
3	baseline	none	109046916	6059613278	6055.73	29382819438	58214519172	7264902512	422650075	1336191
4	baseline	none	109046916	5964279448	5960.96	29447819525	58214519175	7264902855	424806411	1235850
4	candidate	none	109046916	5961324502	5958.53	29297119247	58214758825	7264917336	438930184	1315396
5	candidate	none	109046916	6008651654	6005.70	29315031520	58214759098	7264917610	440513825	1329170
5	baseline	none	109046916	6067157092	6062.93	29434525404	58214521485	7264903286	423036804	1358915
6	baseline	none	109046916	6073625865	6068.97	29545358181	58214525476	7264902590	424743752	1821367
6	candidate	none	109046916	6094922847	6091.57	29520261811	58214757603	7264916306	439827380	1435774
7	candidate	none	109046916	6037499777	6034.96	29283658200	58214758670	7264917695	440070190	1288191
7	baseline	none	109046916	6112262025	6109.32	29642690723	58214526921	7264903728	426447521	1500036
8	baseline	none	109046916	6096435990	6094.59	29651992415	58214526502	7264903305	426111710	1350680
8	candidate	none	109046916	6017926616	6015.89	29303106739	58214757361	7264915923	440228086	1209371
