round	variant	seed	candidates	duration_ns	task_clock_ms	cycles	instructions	branches	branch_misses	cache_misses
0	baseline	none	4268847189	72161403581	510782.04	1674408563895	2337554298731	327780078359	19952523718	901641477
0	candidate	14	3742874647	65006497295	492489.98	1619301420190	2067364183461	291241906556	22209612817	827656014
1	candidate	14	3742874647	68869269311	521177.05	1623011495816	2067362040793	291241463567	22466876154	763971941
1	baseline	none	4268847189	65124394154	483815.46	1597499172683	2337554011069	327779977904	19890743962	632702676
2	baseline	none	4268847189	43867746252	394261.80	1346200759717	2337555335731	327780202390	18557354756	67328667
2	candidate	14	3742874647	41495507486	409326.42	1327007562204	2067364541569	291241914094	21152404294	28331554
3	candidate	14	3742874647	40544575145	384386.52	1317303576908	2067362971506	291241518645	20946506404	28839785
3	baseline	none	4268847189	42753708593	378361.35	1332601103690	2337553270205	327779708323	18394930439	31683794
4	baseline	none	4268847189	40880395003	376656.89	1325235626697	2337558034580	327780721025	18346134754	31491921
4	candidate	14	3742874647	39505880238	371331.98	1294915786368	2067364822533	291241891680	20861481489	22021902
