round	order	arm	elapsed_ns	work	peak_rss_kib	checksum	cycles	instructions	branches	branch_misses
1	1	parent	1469587244	409600000	2440	15567935716178145924	7105779782	7784200339	409787041	114495
1	2	candidate	1502877769	409600000	2380	15567935716178145924	7031664617	7784201211	409787547	122580
2	1	candidate	1485837891	409600000	2432	15567935716178145924	6997158390	7784200648	409787537	125066
2	2	parent	1538676693	409600000	2308	15567935716178145924	7049035247	7784201150	409787477	114304
3	1	parent	1492585834	409600000	2420	15567935716178145924	7114068150	7784200349	409787064	114600
3	2	candidate	1499348365	409600000	2484	15567935716178145924	7007726899	7784200947	409787524	125996
4	1	candidate	1478159603	409600000	2348	15567935716178145924	6992427970	7784200696	409787404	116689
4	2	parent	1586255409	409600000	2344	15567935716178145924	7070808415	7784200637	409787244	117928
5	1	parent	1464160478	409600000	2236	15567935716178145924	7028557659	7784199984	409786938	114372
5	2	candidate	1404968285	409600000	2324	15567935716178145924	6998476367	7784200005	409786807	119781
6	1	candidate	1399565775	409600000	2260	15567935716178145924	6974846691	7784201177	409787225	112674
6	2	parent	1402823421	409600000	2348	15567935716178145924	6992240228	7784200270	409786908	106980
7	1	parent	1405810983	409600000	2268	15567935716178145924	7000941671	7784200220	409786907	106728
7	2	candidate	1408637986	409600000	2348	15567935716178145924	6982246933	7784200838	409787102	113083
