round	order	backend	repetitions	elapsed_ns	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	10	1463523900	6869506830	24980156539	5296674831	714800	30000000	0
1	2	candidate	10	1429896271	6792583378	24700156336	5256674639	661279	30000000	0
2	1	candidate	10	1441063321	6827516165	24700156290	5256674640	664212	30000000	0
2	2	parent	10	1435665391	6829070971	24980156370	5296674723	662038	30000000	0
3	1	parent	10	1434888784	6817792638	24980156618	5296674755	660684	30000000	0
3	2	candidate	10	1436607715	6812248799	24700157018	5256674904	664613	30000000	0
4	1	candidate	10	1430753765	6800162635	24700156123	5256674607	661000	30000000	0
4	2	parent	10	1166154264	5456540532	24980155694	5296674259	844877	30000000	0
5	1	parent	10	995971407	4694267710	24980155374	5296674016	812175	30000000	0
5	2	candidate	10	965991181	4574190156	24700155889	5256674148	827569	30000000	0
6	1	candidate	10	1074197117	5033364742	24700155731	5256674134	858354	30000000	0
6	2	parent	10	1260313248	5853793381	24980156093	5296674407	903900	30000000	0
7	1	parent	10	1159628714	5399511133	24980156034	5296674400	790077	30000000	0
7	2	candidate	10	1199206959	5598176027	24700156233	5256674440	1022898	30000000	0
8	1	candidate	10	1012383122	4751048430	24700156101	5256674285	819633	30000000	0
8	2	parent	10	1429511680	6803821468	24980156236	5296674642	660860	30000000	0
9	1	parent	10	1429694269	6810892832	24980156424	5296674756	661490	30000000	0
9	2	candidate	10	1150340760	5465372668	24700156374	5256674721	744078	30000000	0
10	1	candidate	10	899477333	4300205142	24700155712	5256673884	825668	30000000	0
10	2	parent	10	918226039	4393568918	24980155472	5296673838	763677	30000000	0
11	1	parent	10	907659797	4340802273	24980156307	5296674100	746055	30000000	0
11	2	candidate	10	898874881	4287790122	24700155562	5256673810	785876	30000000	0
12	1	candidate	10	894696422	4270259524	24700155483	5256673783	749398	30000000	0
12	2	parent	10	917360977	4372978238	24980155999	5296674049	755901	30000000	0
13	1	parent	10	910147077	4349897110	24980155628	5296673897	749377	30000000	0
13	2	candidate	10	902218916	4302580502	24700156030	5256674050	840101	30000000	0
14	1	candidate	10	912709868	4348104216	24700156079	5256674027	765203	30000000	0
14	2	parent	10	919340422	4382768608	24980155537	5296673863	744332	30000000	0
15	1	parent	10	1072224882	5107994826	24980155203	5296673893	746467	30000000	0
15	2	candidate	10	908129430	4322252928	24700156173	5256674100	803802	30000000	0
