round	order	backend	repetitions	elapsed_ns	cycles	instructions	branches	branch_misses	work	checksum
1	1	legacy	10	949062906	4585653709	27000377062	8004804275	651377	30000000	0
1	2	flat	10	1201171056	5701876779	24980155992	5296674297	810459	30000000	0
2	1	flat	10	1179225782	5618213512	24980155898	5296674231	805427	30000000	0
2	2	legacy	10	1016486496	4907900413	27000378203	8004804752	681266	30000000	0
3	1	legacy	10	1014462837	4893794647	27000377349	8004804521	690677	30000000	0
3	2	flat	10	1256819749	5967368185	24980155735	5296674245	813245	30000000	0
4	1	flat	10	1271830458	6041269121	24980156125	5296674370	846823	30000000	0
4	2	legacy	10	1291190585	6171531216	27000377940	8004804893	823991	30000000	0
5	1	legacy	10	1094829525	5277146548	27000378334	8004804932	720286	30000000	0
5	2	flat	10	914170772	4429433224	24980155953	5296674075	757291	30000000	0
6	1	flat	10	1147725735	5451632896	24980155555	5296674116	803957	30000000	0
6	2	legacy	10	967226820	4658310306	27000377631	8004804616	661025	30000000	0
7	1	legacy	10	962526689	4641498260	27000377366	8004804493	649445	30000000	0
7	2	flat	10	914948037	4379567366	24980155656	5296673958	751697	30000000	0
8	1	flat	10	967490599	4561381859	24980155823	5296674146	781085	30000000	0
8	2	legacy	10	1141127797	5428928875	27000378632	8004805196	797652	30000000	0
9	1	legacy	10	999741018	4817545561	27000377768	8004804691	672647	30000000	0
9	2	flat	10	905436966	4335218245	24980155502	5296673900	764101	30000000	0
10	1	flat	10	911749991	4365097093	24980156038	5296674109	767198	30000000	0
10	2	legacy	10	1148144790	5491905271	27000378074	8004804858	730163	30000000	0
11	1	legacy	10	1280138918	6115204962	27000378134	8004805000	786877	30000000	0
11	2	flat	10	1087708828	5184815521	24980155773	5296674142	779819	30000000	0
12	1	flat	10	908306967	4353561556	24980155603	5296673965	678051	30000000	0
12	2	legacy	10	1012949147	4878208013	27000377465	8004804577	676115	30000000	0
13	1	legacy	10	1142660334	5482905630	27000377566	8004804656	748974	30000000	0
13	2	flat	10	1043462921	4979930883	24980155576	5296674073	830658	30000000	0
14	1	flat	10	1046058193	4947023101	24980155753	5296674175	791009	30000000	0
14	2	legacy	10	1290667276	6177216466	27000377925	8004804962	820059	30000000	0
15	1	legacy	10	1005008809	4841663630	27000377920	8004804961	683195	30000000	0
15	2	flat	10	1049949086	4937654661	24980156294	5296674439	787124	30000000	0
