round	order	backend	repetitions	elapsed_ns	cycles	instructions	branches	branch_misses	work	peak_states	peak_rss_kib	checksum
1	1	parent	20000	154144783	757076467	4520593883	629686808	1172018	300000	16	2440	80000
1	2	candidate	20000	151768686	746852305	4520594158	629686912	1352824	300000	16	2396	80000
2	1	candidate	20000	151519592	742345942	4520593814	629686812	1137635	300000	16	2412	80000
2	2	parent	20000	155832217	764892016	4520594453	629687023	1555712	300000	16	2432	80000
3	1	parent	20000	157814099	775035167	4520593859	629686804	1926643	300000	16	2460	80000
3	2	candidate	20000	152695874	746962059	4520594282	629686956	1112393	300000	16	2420	80000
4	1	candidate	20000	154626690	746483813	4520594275	629686961	1133638	300000	16	2412	80000
4	2	parent	20000	156790231	767613968	4520594456	629687026	1134694	300000	16	2512	80000
5	1	parent	20000	157665511	770805884	4520594483	629687036	1140581	300000	16	2500	80000
5	2	candidate	20000	152336945	745633757	4520594248	629687034	1122205	300000	16	2528	80000
6	1	candidate	20000	151405128	742235977	4520594001	629686863	1157998	300000	16	2536	80000
6	2	parent	20000	154570386	759182804	4520593761	629686803	1349110	300000	16	2452	80000
7	1	parent	20000	157343261	770862633	4520593765	629686762	1730029	300000	16	2508	80000
7	2	candidate	20000	151359123	741581424	4520593945	629686847	1174279	300000	16	2488	80000
