round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	260.17	1230567968	5048262775	969367517	239736	29970000	6787825262560643446
1	2	candidate	301.43	1426628918	5317793204	1019317662	365946	29970000	6787825262560643446
2	1	candidate	225.14	1047547354	5317793378	1019317780	293270	29970000	6787825262560643446
2	2	parent	210.93	988700021	5048263259	969367620	324687	29970000	6787825262560643446
3	1	parent	192.48	909677316	5048262604	969367381	192106	29970000	6787825262560643446
3	2	candidate	283.92	1340443486	5317792588	1019317406	261229	29970000	6787825262560643446
4	1	candidate	295.41	1401431249	5317793309	1019317659	1023279	29970000	6787825262560643446
4	2	parent	257.24	1213958667	5048262702	969367463	253549	29970000	6787825262560643446
5	1	parent	231.25	1096753895	5048263000	969367533	237895	29970000	6787825262560643446
5	2	candidate	210.65	997280211	5317793032	1019317514	524199	29970000	6787825262560643446
6	1	candidate	235.78	1106987893	5317792903	1019317489	227208	29970000	6787825262560643446
6	2	parent	257.04	1215496143	5048262899	969367512	240750	29970000	6787825262560643446
7	1	parent	219.01	1038976147	5048263306	969367627	239265	29970000	6787825262560643446
7	2	candidate	300.26	1416560431	5317793281	1019317647	387353	29970000	6787825262560643446
8	1	candidate	302.84	1439658226	5317792890	1019317512	1448980	29970000	6787825262560643446
8	2	parent	271.70	1280453978	5048262910	969367539	246320	29970000	6787825262560643446
9	1	parent	220.51	1043204381	5048263039	969367552	232424	29970000	6787825262560643446
9	2	candidate	291.60	1400571064	5317793282	1019317644	483224	29970000	6787825262560643446
10	1	candidate	296.09	1405353415	5317793017	1019317551	383204	29970000	6787825262560643446
10	2	parent	264.76	1253526283	5048263026	969367566	236178	29970000	6787825262560643446
11	1	parent	253.14	1195019409	5048262876	969367524	277905	29970000	6787825262560643446
11	2	candidate	298.19	1415231800	5317792760	1019317470	470185	29970000	6787825262560643446
12	1	candidate	298.79	1419374917	5317792893	1019317515	1239481	29970000	6787825262560643446
12	2	parent	267.47	1267653986	5048262544	969367409	209779	29970000	6787825262560643446
13	1	parent	242.82	1155304204	5048262753	969367454	248770	29970000	6787825262560643446
13	2	candidate	202.56	961249998	5317793263	1019317565	203734	29970000	6787825262560643446
14	1	candidate	201.76	956989486	5317792927	1019317457	418581	29970000	6787825262560643446
14	2	parent	192.43	903060820	5048262374	969367299	173197	29970000	6787825262560643446
15	1	parent	190.42	899014234	5048262555	969367331	178998	29970000	6787825262560643446
15	2	candidate	200.43	949900248	5317793102	1019317516	213446	29970000	6787825262560643446
