round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	192.46	903813720	5048263190	969367613	175985	29970000	6787825262560643446
1	2	candidate	250.49	1165208812	5427664855	1009318027	239244	29970000	6787825262560643446
2	1	candidate	300.79	1375403405	5427663859	1009317727	307380	29970000	6787825262560643446
2	2	parent	272.44	1247799862	5048262553	969367457	272405	29970000	6787825262560643446
3	1	parent	299.42	1380163656	5048263164	969367685	286192	29970000	6787825262560643446
3	2	candidate	294.09	1364987559	5427664732	1009318024	667658	29970000	6787825262560643446
4	1	candidate	276.84	1284787645	5427664416	1009317892	660702	29970000	6787825262560643446
4	2	parent	244.45	1133700444	5048263083	969367604	223380	29970000	6787825262560643446
5	1	parent	198.89	921103579	5048262827	969367488	213293	29970000	6787825262560643446
5	2	candidate	295.28	1351175948	5427664084	1009317800	257324	29970000	6787825262560643446
6	1	candidate	318.92	1501208529	5427664041	1009317793	283024	29970000	6787825262560643446
6	2	parent	311.37	1471564972	5048262675	969367528	441726	29970000	6787825262560643446
7	1	parent	372.02	1758867772	5048263267	969367748	354545	29970000	6787825262560643446
7	2	candidate	335.61	1518251428	5427663956	1009317763	243510	29970000	6787825262560643446
8	1	candidate	343.40	1549821402	5427663558	1009317634	264323	29970000	6787825262560643446
8	2	parent	319.34	1450884059	5048262802	969367543	253393	29970000	6787825262560643446
9	1	parent	320.53	1441936182	5048263015	969367644	476534	29970000	6787825262560643446
9	2	candidate	336.55	1529994976	5427663871	1009317738	229258	29970000	6787825262560643446
10	1	candidate	339.28	1535121781	5427664364	1009317888	289824	29970000	6787825262560643446
10	2	parent	316.52	1435508767	5048263693	969367842	220240	29970000	6787825262560643446
11	1	parent	329.12	1494688489	5048263103	969367644	272273	29970000	6787825262560643446
11	2	candidate	286.06	1303443703	5427664675	1009317967	242304	29970000	6787825262560643446
12	1	candidate	333.16	1497135373	5427663971	1009317759	268197	29970000	6787825262560643446
12	2	parent	320.59	1448896512	5048262527	969367448	235066	29970000	6787825262560643446
13	1	parent	330.54	1498393626	5048262868	969367557	366619	29970000	6787825262560643446
13	2	candidate	351.95	1593609327	5427664226	1009317822	308233	29970000	6787825262560643446
14	1	candidate	216.64	1003065227	5427663744	1009317624	823021	29970000	6787825262560643446
14	2	parent	199.34	909538064	5048262546	969367379	172425	29970000	6787825262560643446
15	1	parent	199.31	918497281	5048262779	969367468	197407	29970000	6787825262560643446
15	2	candidate	222.11	1027274216	5427664053	1009317686	795156	29970000	6787825262560643446
