round	order	backend	task_clock_ms	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	264.89	1255332197	5048263086	969367630	288942	29970000	6787825262560643446
1	2	candidate	266.12	1263643562	5797314154	1159177864	260453	29970000	6787825262560643446
2	1	candidate	283.25	1336255030	5797314445	1159177967	353571	29970000	6787825262560643446
2	2	parent	191.48	911728866	5048263218	969367579	235703	29970000	6787825262560643446
3	1	parent	256.94	1199696679	5048262484	969367413	281798	29970000	6787825262560643446
3	2	candidate	254.78	1195529303	5797313965	1159177790	276130	29970000	6787825262560643446
4	1	candidate	219.28	1020831043	5797313417	1159177567	373318	29970000	6787825262560643446
4	2	parent	220.70	1042899277	5048262729	969367434	205625	29970000	6787825262560643446
5	1	parent	255.47	1211157995	5048263478	969367743	266754	29970000	6787825262560643446
5	2	candidate	209.18	994305431	5797313383	1159177549	323647	29970000	6787825262560643446
6	1	candidate	274.00	1302103413	5797314042	1159177852	349254	29970000	6787825262560643446
6	2	parent	270.39	1272665679	5048262673	969367466	449449	29970000	6787825262560643446
7	1	parent	237.40	1124445093	5048262440	969367353	234554	29970000	6787825262560643446
7	2	candidate	288.63	1363503944	5797313982	1159177812	256395	29970000	6787825262560643446
8	1	candidate	269.72	1277236187	5797314257	1159177883	334259	29970000	6787825262560643446
8	2	parent	206.96	971732056	5048262500	969367357	227359	29970000	6787825262560643446
9	1	parent	241.92	1136843097	5048263159	969367592	219103	29970000	6787825262560643446
9	2	candidate	216.88	1020479703	5797313663	1159177652	682953	29970000	6787825262560643446
10	1	candidate	273.37	1290894299	5797313469	1159177631	309199	29970000	6787825262560643446
10	2	parent	273.08	1292029077	5048263014	969367571	400955	29970000	6787825262560643446
11	1	parent	233.52	1104054533	5048262540	969367377	206291	29970000	6787825262560643446
11	2	candidate	233.77	1102944335	5797313722	1159177684	242547	29970000	6787825262560643446
12	1	candidate	220.83	1031342175	5797313853	1159177682	429677	29970000	6787825262560643446
12	2	parent	191.26	906606109	5048262946	969367483	174018	29970000	6787825262560643446
13	1	parent	190.01	901477360	5048262658	969367375	195302	29970000	6787825262560643446
13	2	candidate	213.66	1002151889	5797314397	1159177879	870132	29970000	6787825262560643446
14	1	candidate	209.85	989006220	5797313499	1159177577	324041	29970000	6787825262560643446
14	2	parent	219.37	1032506464	5048262536	969367377	238494	29970000	6787825262560643446
15	1	parent	256.03	1211995589	5048262817	969367482	463043	29970000	6787825262560643446
15	2	candidate	290.16	1368525365	5797313915	1159177792	245644	29970000	6787825262560643446
