round	order	backend	repetitions	elapsed_ns	cycles	instructions	branches	branch_misses	work	checksum
1	1	parent	5000000	1190409592	5445284588	18560560057	2900092175	36059	25000000	10301641814913738240
1	2	candidate	5000000	1165908895	5475183421	18560559855	2900092030	69116	25000000	10301641814913738240
2	1	candidate	5000000	1268331628	5749847177	18560560039	2900092214	151006	25000000	10301641814913738240
2	2	parent	5000000	1199074261	5483767431	18560559878	2900092153	64841	25000000	10301641814913738240
3	1	parent	5000000	1205626445	5609032495	18560563491	2900095638	157366	25000000	10301641814913738240
3	2	candidate	5000000	1203378860	5606129499	18560559887	2900092138	100905	25000000	10301641814913738240
4	1	candidate	5000000	1161394231	5443990024	18560559646	2900092085	72140	25000000	10301641814913738240
4	2	parent	5000000	1134240311	5425013126	18560560373	2900092195	31669	25000000	10301641814913738240
5	1	parent	5000000	1179983854	5467650135	18560560321	2900092230	48995	25000000	10301641814913738240
5	2	candidate	5000000	1217617852	5520899263	18560559806	2900092061	75762	25000000	10301641814913738240
6	1	candidate	5000000	1169805032	5435769320	18560559619	2900091986	67005	25000000	10301641814913738240
6	2	parent	5000000	1234851836	5598273639	18560560061	2900092118	78737	25000000	10301641814913738240
7	1	parent	5000000	1174899164	5456095058	18560559673	2900091955	76718	25000000	10301641814913738240
7	2	candidate	5000000	1237841424	5566001616	18560560174	2900092205	109461	25000000	10301641814913738240
