round	order	backend	repetitions	elapsed_ns	cycles	instructions	branches	branch_misses	work	checksum
1	1	gf7	100000	1448816401	6968673837	6862657908	102577553	106942	409600000	15567935716178145924
1	2	gf7-typed	100000	1462541929	6968582786	6862575048	102581920	107265	409600000	15567935716178145924
2	1	gf7-typed	100000	1444458970	6965944537	6862574786	102581837	106785	409600000	15567935716178145924
2	2	gf7	100000	1494170690	6971070448	6862657614	102577544	107300	409600000	15567935716178145924
3	1	gf7	100000	1461990582	6973308092	6862658094	102577683	107598	409600000	15567935716178145924
3	2	gf7-typed	100000	1446530943	6967063220	6862574470	102581776	106940	409600000	15567935716178145924
4	1	gf7-typed	100000	1452238565	6967474178	6862575434	102582085	107024	409600000	15567935716178145924
4	2	gf7	100000	1470725081	6973930832	6862657568	102577522	108099	409600000	15567935716178145924
5	1	gf7	100000	1477441008	6970489001	6862657222	102577391	107465	409600000	15567935716178145924
5	2	gf7-typed	100000	1646379026	6967032116	6862575062	102582069	107433	409600000	15567935716178145924
6	1	gf7-typed	100000	1446944738	6970299968	6862575434	102582118	108016	409600000	15567935716178145924
6	2	gf7	100000	1475058435	6970129436	6862657566	102577493	107400	409600000	15567935716178145924
7	1	gf7	100000	1520958694	6969994408	6862658521	102578521	108492	409600000	15567935716178145924
7	2	gf7-typed	100000	1469227402	6966587076	6862576039	102582352	107007	409600000	15567935716178145924
