round	variant	wall_ns	cycles	instructions	branches	branch_misses	cache_misses	work	checksum
1	baseline	3465444894	17058784239	66518989041	11523617718	51008021	9633	25700	12664749333343939563
1	candidate	49581613	185785468	861687594	128744925	368973	8705	25700	12664749333343939563
2	candidate	50231133	183405545	861687802	128744992	352486	8264	25700	12664749333343939563
2	baseline	3450002473	17078824633	66518989302	11523617848	51012437	11267	25700	12664749333343939563
3	baseline	3458305461	17086799106	66518989369	11523617826	51017496	11195	25700	12664749333343939563
3	candidate	50464737	183775772	861687521	128744898	348898	8207	25700	12664749333343939563
4	candidate	49593044	185921570	861687901	128745001	370488	8179	25700	12664749333343939563
4	baseline	3458258014	17104600814	66518988640	11523617596	51000930	13569	25700	12664749333343939563
5	baseline	3456014498	17084542492	66518988735	11523617583	50992612	11601	25700	12664749333343939563
5	candidate	55974760	183022867	861687701	128744958	352097	8139	25700	12664749333343939563
6	candidate	49937645	183226260	861687965	128745041	352742	8204	25700	12664749333343939563
6	baseline	3478602393	17150778591	66518989443	11523618268	51028488	16625	25700	12664749333343939563
7	baseline	3460436290	17098681980	66518989458	11523617818	50997395	14772	25700	12664749333343939563
7	candidate	51521044	184103562	861687607	128744923	348792	8191	25700	12664749333343939563
