# control_commit	ebca6cb66
# candidate_commit	4b6fb3a83
# control_sha256	a7bb54fca4e5d12a1907ee789ed66e85174521f5de6a4b80cadb2724a95e5cd3
# candidate_sha256	29e294b853862cc8cc40b82821284a77f62f2b401496cb2f0116d174c015d6c6
# toolchain	rustc 1.93.1 (01f6ddf75 2026-02-11)
# command	bounded_subset_sum_kernel 5001
round	arm	duration_ns	cycles	instructions	branches	branch_misses
1	control	247245385	1131802581	5796427002	1803744843	1310877
1	candidate	141938716	556838584	3330651447	1075374271	540297
2	candidate	122134677	561020372	3330651201	1075374161	594192
2	control	231165409	1138914959	5796426709	1803744726	1316917
3	control	226198132	1127203331	5796427260	1803744913	1260726
3	candidate	127992744	560480277	3330651816	1075374376	543497
4	candidate	116330362	556124560	3330651237	1075374180	518290
4	control	240163992	1138037738	5796426837	1803744782	1352421
5	control	231538774	1125715076	5796426277	1803744586	1280794
5	candidate	120495316	555586906	3330652079	1075374463	465883
6	candidate	120104417	556794876	3330651807	1075374371	500418
6	control	233706520	1126867016	5796427205	1803744906	1306259
7	control	232802036	1130741870	5796426913	1803744802	1298952
7	candidate	122859016	555855231	3330651893	1075374401	521036
8	candidate	120043975	557937593	3330651806	1075374374	481601
8	control	242911847	1132601226	5796426564	1803744693	1288930
9	control	229801189	1128874107	5796426939	1803744804	1301042
9	candidate	117693609	555876204	3330651341	1075374213	510099
