# control_commit	4bc747950
# candidate_commit	86c7b5869
# control_sha256	6d1d810e0c4bc7e73487d29bd7779b51e848fbcb4add0d3196289626c94af5f7
# candidate_sha256	675cc179f3522ebe209786154732c0156c9c2089dd82fa927b06fe3a0ab36f94
# toolchain	rustc 1.93.1 (01f6ddf75 2026-02-11)
# command	bounded_subset_sum_kernel 10001
round	arm	duration_ns	cycles	instructions	branches	branch_misses
1	control	253730708	1147937422	6596065216	2142883662	1015120
1	candidate	247809575	1145802499	6798545846	2143503831	2214394
2	candidate	229025815	1128720525	6798545246	2143503623	1501540
2	control	228137662	1125388465	6596065688	2142883802	1052572
3	control	232815120	1120602898	6596065483	2142883733	997318
3	candidate	234437741	1127743679	6798545665	2143503769	1470416
4	candidate	233681593	1150064003	6798545827	2143503820	2282299
4	control	233752335	1100586165	6596065700	2142883850	966427
5	control	224318793	1112808464	6596065211	2142883641	1028873
5	candidate	226089979	1121661856	6798545773	2143503798	1336997
6	candidate	227638192	1131255904	6798546273	2143503966	1433763
6	control	228821565	1127927437	6596065527	2142883749	1018684
7	control	228102315	1128204051	6596066048	2142883917	1053898
7	candidate	236202115	1152659558	6798546627	2143504096	2404923
8	candidate	232017625	1149736580	6798545361	2143503666	2361439
8	control	231238995	1111286430	6596065221	2142883620	984702
9	control	227033206	1112590986	6596065501	2142883747	935286
9	candidate	232902642	1151293541	6798545325	2143503654	2511866
