[Z3xZ3xZ3xZ5] |G|=135 |Aut|=44928  order=true j=22 par-ply=10 cap=700000000
  [  15s] nodes=18910 memo=15942 rss=64MB
  [  30s] nodes=51075 memo=42342 rss=64MB
  [  45s] nodes=80405 memo=66928 rss=64MB
  [  60s] nodes=109359 memo=90122 rss=65MB
  [  75s] nodes=137505 memo=112321 rss=66MB
  [  90s] nodes=164443 memo=133637 rss=66MB
  [ 105s] nodes=191984 memo=156022 rss=66MB
  [ 120s] nodes=218704 memo=177510 rss=66MB
  [ 135s] nodes=245730 memo=200179 rss=70MB
  [ 150s] nodes=273791 memo=224974 rss=70MB
  [ 165s] nodes=300365 memo=248499 rss=71MB
  [ 180s] nodes=321571 memo=267630 rss=71MB
  [ 195s] nodes=342819 memo=287374 rss=71MB
  [ 210s] nodes=369749 memo=312240 rss=71MB
  [ 225s] nodes=395063 memo=335699 rss=71MB
  [ 240s] nodes=419480 memo=358504 rss=72MB
  [ 255s] nodes=445023 memo=382090 rss=80MB
  [ 270s] nodes=469972 memo=405250 rss=83MB
  [ 285s] nodes=495815 memo=429072 rss=83MB
  [ 300s] nodes=520555 memo=451768 rss=83MB
  [ 315s] nodes=544987 memo=474117 rss=83MB
  [ 330s] nodes=569612 memo=496682 rss=83MB
  [ 345s] nodes=594811 memo=519604 rss=83MB
  [ 360s] nodes=619812 memo=542556 rss=83MB
  [ 375s] nodes=644158 memo=564991 rss=83MB
  [ 390s] nodes=668614 memo=587429 rss=83MB
  [ 405s] nodes=693218 memo=609888 rss=83MB
  [ 420s] nodes=716667 memo=631450 rss=83MB
  [ 435s] nodes=740494 memo=653316 rss=80MB
  [ 450s] nodes=763826 memo=674568 rss=80MB
  [ 465s] nodes=786923 memo=694907 rss=80MB
  [ 480s] nodes=810787 memo=715864 rss=82MB
  [ 495s] nodes=834423 memo=737240 rss=93MB
  [ 510s] nodes=859424 memo=760310 rss=104MB
  [ 525s] nodes=884749 memo=783514 rss=104MB
  [ 540s] nodes=909928 memo=806687 rss=104MB
  [ 555s] nodes=932547 memo=827507 rss=104MB
  [ 570s] nodes=953138 memo=846578 rss=104MB
  [ 585s] nodes=973455 memo=865418 rss=104MB
  [ 600s] nodes=993403 memo=883879 rss=104MB
  [ 615s] nodes=1013497 memo=902443 rss=104MB
  [ 630s] nodes=1034753 memo=921371 rss=104MB
  [ 645s] nodes=1055274 memo=939263 rss=104MB
  [ 660s] nodes=1075458 memo=957269 rss=104MB
  [ 675s] nodes=1096545 memo=976697 rss=104MB
  [ 690s] nodes=1117360 memo=996507 rss=104MB
  [ 705s] nodes=1138116 memo=1016570 rss=104MB
  [ 720s] nodes=1158505 memo=1036130 rss=104MB
  [ 735s] nodes=1179437 memo=1056255 rss=104MB
  [ 750s] nodes=1200529 memo=1076795 rss=100MB
  [ 765s] nodes=1221532 memo=1097737 rss=100MB
  [ 780s] nodes=1242214 memo=1118438 rss=100MB
  [ 795s] nodes=1263318 memo=1139538 rss=100MB
  [ 810s] nodes=1284468 memo=1160549 rss=100MB
  [ 825s] nodes=1306093 memo=1181723 rss=100MB
  [ 840s] nodes=1325819 memo=1200823 rss=100MB
  [ 855s] nodes=1346199 memo=1220522 rss=100MB
  [ 870s] nodes=1366879 memo=1240549 rss=100MB
  [ 885s] nodes=1386552 memo=1259550 rss=100MB
  [ 900s] nodes=1406354 memo=1278723 rss=100MB
  [ 915s] nodes=1426539 memo=1298323 rss=100MB
  [ 930s] nodes=1446936 memo=1318670 rss=100MB
  [ 945s] nodes=1466610 memo=1338234 rss=100MB
  [ 960s] nodes=1486002 memo=1357609 rss=100MB
  [ 975s] nodes=1505415 memo=1377037 rss=100MB
  [ 990s] nodes=1524864 memo=1396346 rss=100MB
  [1005s] nodes=1544573 memo=1415401 rss=100MB
  [1020s] nodes=1564028 memo=1434284 rss=101MB
  [1035s] nodes=1584057 memo=1454311 rss=114MB
  [1050s] nodes=1603957 memo=1474217 rss=130MB
  [1065s] nodes=1624516 memo=1494779 rss=138MB
  [1080s] nodes=1645079 memo=1515345 rss=138MB
  [1095s] nodes=1665012 memo=1535160 rss=138MB
  [1110s] nodes=1685125 memo=1554605 rss=138MB
  [1125s] nodes=1704990 memo=1573748 rss=138MB
  [1140s] nodes=1723816 memo=1592043 rss=138MB
  [1155s] nodes=1743756 memo=1610934 rss=138MB
  [1170s] nodes=1763272 memo=1628808 rss=138MB
  [1185s] nodes=1781958 memo=1645959 rss=138MB
  [1200s] nodes=1801826 memo=1664185 rss=138MB
  [1215s] nodes=1821655 memo=1682486 rss=138MB
  [1230s] nodes=1840911 memo=1700497 rss=138MB
  [1245s] nodes=1859977 memo=1718846 rss=138MB
  [1260s] nodes=1879527 memo=1737627 rss=138MB
  [1275s] nodes=1899910 memo=1757323 rss=138MB
  [1290s] nodes=1919180 memo=1776514 rss=138MB
  [1305s] nodes=1939048 memo=1796388 rss=137MB
  [1320s] nodes=1958855 memo=1816178 rss=137MB
  [1335s] nodes=1978286 memo=1835102 rss=137MB
  [1350s] nodes=1997679 memo=1853736 rss=137MB
  [1365s] nodes=2017087 memo=1872604 rss=137MB
  [1380s] nodes=2036441 memo=1891935 rss=137MB
  [1395s] nodes=2054983 memo=1910325 rss=137MB
  [1410s] nodes=2072750 memo=1928099 rss=137MB
  [1425s] nodes=2091584 memo=1946935 rss=137MB
  [1440s] nodes=2110538 memo=1965616 rss=137MB
  [1455s] nodes=2129616 memo=1984525 rss=137MB
  [1470s] nodes=2147745 memo=2002511 rss=137MB
  [1485s] nodes=2165707 memo=2020491 rss=137MB
  [1500s] nodes=2183797 memo=2038580 rss=137MB
  [1515s] nodes=2203121 memo=2057910 rss=137MB
  [1530s] nodes=2222273 memo=2077050 rss=137MB
  [1545s] nodes=2240758 memo=2095513 rss=137MB
  [1560s] nodes=2259824 memo=2114568 rss=137MB
  [1575s] nodes=2275518 memo=2130220 rss=137MB
  [1590s] nodes=2292507 memo=2147183 rss=137MB
  [1605s] nodes=2309907 memo=2164596 rss=137MB
  [1620s] nodes=2327674 memo=2182323 rss=137MB
  [1635s] nodes=2345383 memo=2200048 rss=137MB
  [1650s] nodes=2362942 memo=2217604 rss=137MB
  [1665s] nodes=2378840 memo=2233338 rss=137MB
  [1680s] nodes=2397541 memo=2252038 rss=137MB
  [1695s] nodes=2416077 memo=2270553 rss=137MB
  [1710s] nodes=2432002 memo=2286495 rss=137MB
  [1725s] nodes=2449437 memo=2303943 rss=137MB
  [1740s] nodes=2467063 memo=2321368 rss=137MB
  [1755s] nodes=2480729 memo=2335022 rss=137MB
  [1770s] nodes=2498614 memo=2352919 rss=137MB
  [1785s] nodes=2515708 memo=2370007 rss=137MB
  [1800s] nodes=2532788 memo=2387099 rss=137MB
  [1815s] nodes=2551242 memo=2405120 rss=137MB
  [1830s] nodes=2569845 memo=2423236 rss=137MB
  [1845s] nodes=2589097 memo=2440884 rss=137MB
  [1860s] nodes=2599095 memo=2450553 rss=137MB
  [1875s] nodes=2606248 memo=2457722 rss=137MB
  [1890s] nodes=2619211 memo=2470655 rss=137MB
  [1905s] nodes=2638571 memo=2489995 rss=137MB
  [1920s] nodes=2656862 memo=2508311 rss=137MB
  [1935s] nodes=2674069 memo=2525425 rss=137MB
  [1950s] nodes=2691910 memo=2543215 rss=137MB
  [1965s] nodes=2709428 memo=2560747 rss=137MB
  [1980s] nodes=2727019 memo=2578338 rss=137MB
  [1995s] nodes=2745769 memo=2597084 rss=137MB
  [2010s] nodes=2757524 memo=2608844 rss=137MB
