implementation	family	states	generators	outputs	repetitions	ns_per_op	classes	splits_optional
ergodis	chain	131072	1	2	1	10940221	131072	131070
boa	chain	131072	1	2	1	20085558	131072	-
boa	chain	131072	1	2	1	19252217	131072	-
ergodis	chain	131072	1	2	1	10456169	131072	131070
ergodis	chain	131072	1	2	1	10495362	131072	131070
boa	chain	131072	1	2	1	19359617	131072	-
boa	chain	131072	1	2	1	19525726	131072	-
ergodis	chain	131072	1	2	1	10761527	131072	131070
ergodis	chain	131072	1	2	1	10324203	131072	131070
boa	chain	131072	1	2	1	19616716	131072	-
boa	chain	131072	1	2	1	19561143	131072	-
ergodis	chain	131072	1	2	1	12220163	131072	131070
ergodis	chain	131072	1	2	1	10800881	131072	131070
boa	chain	131072	1	2	1	19290688	131072	-
ergodis	random	131072	4	2	1	62105057	131072	131070
boa	random	131072	4	2	1	24958763	131072	-
boa	random	131072	4	2	1	25016439	131072	-
ergodis	random	131072	4	2	1	61719169	131072	131070
ergodis	random	131072	4	2	1	61818704	131072	131070
boa	random	131072	4	2	1	25031467	131072	-
boa	random	131072	4	2	1	25303435	131072	-
ergodis	random	131072	4	2	1	62327462	131072	131070
ergodis	random	131072	4	2	1	63425777	131072	131070
boa	random	131072	4	2	1	24825926	131072	-
boa	random	131072	4	2	1	25054130	131072	-
ergodis	random	131072	4	2	1	61463082	131072	131070
ergodis	random	131072	4	2	1	62573630	131072	131070
boa	random	131072	4	2	1	24752137	131072	-
ergodis	colors	131072	4	256	1	4696655	256	0
boa	colors	131072	4	256	1	8412985	256	-
boa	colors	131072	4	256	1	7758817	256	-
ergodis	colors	131072	4	256	1	4716893	256	0
ergodis	colors	131072	4	256	1	4788897	256	0
boa	colors	131072	4	256	1	8347042	256	-
boa	colors	131072	4	256	1	7740543	256	-
ergodis	colors	131072	4	256	1	4713496	256	0
ergodis	colors	131072	4	256	1	4725228	256	0
boa	colors	131072	4	256	1	8394841	256	-
boa	colors	131072	4	256	1	7750120	256	-
ergodis	colors	131072	4	256	1	4766155	256	0
ergodis	colors	131072	4	256	1	4731420	256	0
boa	colors	131072	4	256	1	8295075	256	-
