      SIZE       AGE  NAME                                          REFERENCED-BY
      ----       ---  ----                                          -------------
      249K       3d  alignment_attachment-before-clause-mitm       UNREFERENCED
      249K       3d  alignment_attachment-before-deep-hit          UNREFERENCED
      245K       3d  alignment_attachment-before-dsu               UNREFERENCED
      249K       3d  alignment_attachment-before-dual              UNREFERENCED
      249K       3d  alignment_attachment-before-incremental-symmetry  UNREFERENCED
      245K       3d  alignment_attachment-before-residual          UNREFERENCED
      253K       3d  alignment_attachment-r3-baseline              UNREFERENCED
      139M       4d  application-ab-venv                           UNREFERENCED
      9.0K       4d  bb288-native-input-v1.json                    UNREFERENCED
       28M       3d  bb756                                         c1018-bb756-distance-certificate.json,c985-bb756-pivot-descriptor-rejected.json,c985-bb756-pivot-word-buckets-rejected.json
      364K       3d  BivariateBicycleCodes-20260829                UNREFERENCED
       42M       2d  c1013-census-target                           UNREFERENCED
       31K       2d  c1014                                         UNREFERENCED
       40K       2d  c1014-gp-cache                                UNREFERENCED
      108M       2d  c1018                                         c1018-bb756-distance-certificate.json,c1018-qldpc-r1elite01-certificate.json,c1018-qldpc-r1elite02-certificate.json
      982K       2d  c1025                                         UNREFERENCED
       43M       2d  c1025-build                                   UNREFERENCED
       84K       1d  c1026                                         UNREFERENCED
       44M       1d  c1028                                         UNREFERENCED
      2.7M       1d  c1029                                         UNREFERENCED
      438M       0d  c1034-parity                                  UNREFERENCED
      104M       3d  c985                                          c985-c997-optimal-support-orbits.json,c985-vlsat2-full-coverage.json,c985-vlsat2-prefix-ab.json
      100M       4d  c985-ab-parent                                UNREFERENCED
       73K       3d  c985-alignment-budget16-crossing.perf.data    UNREFERENCED
      5.0K       3d  c985-alignment-budget16-crossing-perf.stderr  UNREFERENCED
       73K       3d  c985-alignment-budget16-incremental.perf.data  UNREFERENCED
      5.0K       3d  c985-alignment-budget16-incremental-perf.stderr  UNREFERENCED
       73K       3d  c985-alignment-budget16-residual.perf.data    UNREFERENCED
      5.0K       3d  c985-alignment-budget16-residual-perf.stderr  UNREFERENCED
       73K       3d  c985-alignment-budget16-symmetry.perf.data    UNREFERENCED
      5.0K       3d  c985-alignment-budget16-symmetry-perf.stderr  UNREFERENCED
      1.0K       3d  c985-alignment-weight15-compact-s1-t11-p27.out  UNREFERENCED
      295K       3d  c985-alignment-weight15-deep-hit-p25          UNREFERENCED
      317K       3d  c985-alignment-weight15-sweep                 UNREFERENCED
      5.0K       4d  c985-bb288-adjacent-t12-20260829.jsonl        UNREFERENCED
      5.0K       4d  c985-bb288-adjacent-t8-20260829.jsonl         UNREFERENCED
      9.0K       4d  c985-bb288-affinity-cutoff-t16-20260829.jsonl  UNREFERENCED
      9.0K       4d  c985-bb288-affinity-cutoff-t16-20260829.stdout  UNREFERENCED
      9.0K       4d  c985-bb288-affinity-t16-20260829.jsonl        UNREFERENCED
      9.0K       4d  c985-bb288-deepsplit-sha.log                  UNREFERENCED
      5.0K       4d  c985-bb288-final-sha.log                      UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-default4096-t16-20260829.jsonl  UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-default4096-t16-20260829.stdout  UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-pulse0-t16-20260829.jsonl  UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-pulse0-t16-20260829.stdout  UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-pulse1024-t16-20260829.jsonl  UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-pulse1024-t16-20260829.stdout  UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-pulse4096-t16-20260829.jsonl  UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-pulse4096-t16-20260829.stdout  UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-pulse65536-t16-20260829.jsonl  UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-pulse65536-t16-20260829.stdout  UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-t16-20260829.jsonl       UNREFERENCED
      9.0K       4d  c985-bb288-first-odd-t16-20260829.stdout      UNREFERENCED
      9.0K       4d  c985-bb288-gurobi-sha.log                     UNREFERENCED
      9.0K       4d  c985-bb288-multiversion-aligned-t16-20260829.jsonl  UNREFERENCED
      9.0K       4d  c985-bb288-multiversion-aligned-t16-20260829.stdout  UNREFERENCED
      9.0K       4d  c985-bb288-multiversion-aligned-v2-t16-20260829.jsonl  UNREFERENCED
      9.0K       4d  c985-bb288-multiversion-aligned-v2-t16-20260829.stdout  UNREFERENCED
      5.0K       4d  c985-bb288-native-cached-t16-20260829.jsonl   UNREFERENCED
      9.0K       4d  c985-bb288-native-cpu-t16-20260829.jsonl      UNREFERENCED
      9.0K       4d  c985-bb288-native-cpu-t16-20260829.stdout     UNREFERENCED
      9.0K       4d  c985-bb288-parallel-sha.log                   UNREFERENCED
      9.0K       4d  c985-bb288-persist-sha.log                    UNREFERENCED
      9.0K       3d  c985-c80-p-admission-q11-1000.json            UNREFERENCED
      5.0K       3d  c985-c80-p-admission-q11-100.json             UNREFERENCED
      5.0K       3d  c985-c80-p-admission-q13-100.json             UNREFERENCED
      5.0K       3d  c985-c80-p-admission-q13-300.json             UNREFERENCED
      5.0K       3d  c985-c80-q11-10000.json                       UNREFERENCED
      297K       3d  c985-c880-g8-compact-band15-16.cnf            UNREFERENCED
      311M       3d  c985-c880-g8-compact-band15-16.drat           UNREFERENCED
      301K       3d  c985-c880-g8-compact-band15-17.cnf            UNREFERENCED
       41K       3d  c985-c880-g8-compact-band15-17.model          UNREFERENCED
      297K       3d  c985-c880-g8-compact-exact15.cnf              UNREFERENCED
      168M       3d  c985-c880-g8-compact-exact15.drat             UNREFERENCED
      297K       3d  c985-c880-g8-compact-exact16.cnf              UNREFERENCED
      204M       3d  c985-c880-g8-compact-exact16.drat             UNREFERENCED
      325K       3d  c985-c880-g8-compact-le16.slot.cnf            UNREFERENCED
      383M       3d  c985-c880-g8-compact-le16.slot-incomplete.drat  UNREFERENCED
      321K       3d  c985-c880-g8-compact-le17.cnf                 UNREFERENCED
      297K       3d  c985-c880-g8-compact-sequential-le16.no-lower.cnf  UNREFERENCED
      420M       3d  c985-c880-g8-compact-sequential-le16.no-lower-incomplete.drat  UNREFERENCED
      301K       3d  c985-c880-g8-compact-sequential-le17.cnf      UNREFERENCED
       53K       3d  c985-c880-g8-compact-sequential-le17.model    UNREFERENCED
      297K       3d  c985-c880-g8-exact15-orbit11.cnf              UNREFERENCED
      252M       3d  c985-c880-g8-exact15-orbit11.drat             UNREFERENCED
      139M       3d  c985-c880-g8-exact15-orbit11-seed1.drat       UNREFERENCED
      297K       3d  c985-c880-g8-exact15-orbit1.cnf               UNREFERENCED
      238M       3d  c985-c880-g8-exact15-orbit1.drat              UNREFERENCED
      122M       3d  c985-c880-g8-exact15-orbit1-seed1.drat        UNREFERENCED
      297K       3d  c985-c880-g8-exact15-orbit46.cnf              UNREFERENCED
      241M       3d  c985-c880-g8-exact15-orbit46.drat             UNREFERENCED
      117M       3d  c985-c880-g8-exact15-orbit46-seed1.drat       UNREFERENCED
      297K       3d  c985-c880-g8-exact16-orbit11.cnf              UNREFERENCED
      193M       3d  c985-c880-g8-exact16-orbit11.drat             UNREFERENCED
      122M       3d  c985-c880-g8-exact16-orbit11-seed1.drat       UNREFERENCED
      297K       3d  c985-c880-g8-exact16-orbit1.cnf               UNREFERENCED
      234M       3d  c985-c880-g8-exact16-orbit1.drat              UNREFERENCED
      127M       3d  c985-c880-g8-exact16-orbit1-seed1.drat        UNREFERENCED
      297K       3d  c985-c880-g8-exact16-orbit46.cnf              UNREFERENCED
