# dist3: subspaces examined = 61927311
# (dimL', dimR, #classes L', #classes R, distance-3 condition) : count
(3, 1, 6, 1, false) : 91
(3, 1, 7, 1, false) : 1022
(3, 1, 8, 1, false) : 9198
(3, 1, 9, 1, false) : 60550
(3, 1, 10, 1, false) : 314048
(3, 1, 11, 1, false) : 1082928
(3, 1, 12, 1, false) : 2230368
(3, 1, 13, 1, false) : 2180332
(3, 1, 14, 1, false) : 843920
(3, 2, 7, 3, false) : 168
(3, 2, 7, 5, false) : 42
(3, 2, 8, 2, false) : 112
(3, 2, 8, 3, false) : 336
(3, 2, 8, 5, false) : 504
(3, 2, 8, 6, false) : 168
(3, 2, 9, 5, false) : 504
(3, 2, 9, 6, false) : 504
(3, 2, 9, 7, false) : 168
(3, 2, 10, 3, false) : 448
(3, 2, 10, 4, false) : 448
(3, 2, 10, 5, false) : 3990
(3, 2, 10, 6, false) : 1848
(3, 2, 10, 7, false) : 840
(3, 2, 11, 2, false) : 224
(3, 2, 11, 3, false) : 224
(3, 2, 11, 4, false) : 1120
(3, 2, 11, 5, false) : 9660
(3, 2, 11, 6, false) : 6048
(3, 2, 11, 7, false) : 2016
(3, 2, 12, 4, false) : 1680
(3, 2, 12, 5, false) : 22764
(3, 2, 12, 6, false) : 15792
(3, 2, 12, 7, false) : 4368
(3, 2, 13, 4, false) : 896
(3, 2, 13, 5, false) : 19152
(3, 2, 13, 6, false) : 15456
(3, 2, 13, 7, false) : 10752
(3, 2, 14, 4, false) : 560
(3, 2, 14, 5, false) : 5712
(3, 2, 14, 6, false) : 6048
(3, 2, 14, 7, false) : 6552
(3, 3, 6, 6, false) : 168
(3, 3, 7, 7, false) : 484
(3, 3, 8, 8, false) : 56
(3, 3, 9, 9, false) : 42
(3, 3, 10, 10, false) : 504
(3, 3, 11, 11, false) : 1176
(3, 3, 12, 12, false) : 672
(3, 3, 13, 13, false) : 532
(3, 3, 14, 14, false) : 56
(4, 1, 8, 1, false) : 14
(4, 1, 9, 1, false) : 861
(4, 1, 10, 1, false) : 8106
(4, 1, 11, 1, false) : 53102
(4, 1, 12, 1, false) : 1099735
(4, 1, 13, 1, false) : 10185280
(4, 1, 14, 1, false) : 36782564
(4, 2, 10, 3, false) : 224
(4, 2, 10, 5, false) : 84
(4, 2, 11, 5, false) : 420
(4, 2, 11, 6, false) : 168
(4, 2, 12, 4, false) : 336
(4, 2, 12, 5, false) : 2184
(4, 2, 12, 7, false) : 168
(4, 2, 13, 3, false) : 168
(4, 2, 13, 4, false) : 1064
(4, 2, 13, 5, false) : 6216
(4, 2, 13, 6, false) : 1680
(4, 2, 13, 7, false) : 1400
(4, 2, 14, 2, false) : 392
(4, 2, 14, 4, false) : 4424
(4, 2, 14, 5, false) : 17304
(4, 2, 14, 6, false) : 3528
(4, 2, 14, 7, false) : 7616
(4, 3, 10, 9, false) : 21
(4, 3, 12, 9, false) : 21
(4, 3, 14, 7, false) : 76
(4, 3, 14, 13, false) : 28
(4, 4, 7, 7, false) : 8
(4, 4, 14, 14, false) : 8
(5, 1, 10, 1, false) : 21
(5, 1, 12, 1, false) : 3241
(5, 1, 13, 1, false) : 247877
(5, 1, 14, 1, false) : 6613656
(5, 2, 13, 5, false) : 84
(5, 2, 14, 4, false) : 56
(5, 2, 14, 5, false) : 252
(5, 2, 14, 7, false) : 56
(5, 3, 14, 7, false) : 8
(6, 1, 13, 1, false) : 91
(6, 1, 14, 1, false) : 19517
(7, 1, 14, 1, false) : 1
# hits: 0
