quotient_points_done	elapsed_s	classes_done	unsaturated_so_far
500	37.9	9841500	0
1000	74.9	19683000	0
1500	112.1	29524500	0
2000	148.9	39366000	0
2500	186.6	49207500	0
3000	223.7	59049000	0
3500	260.4	68890500	0
4000	297.3	78732000	0
4500	334.5	88573500	0
5000	371.4	98415000	0
5500	408.7	108256500	0
6000	445.7	118098000	0
6500	484.0	127939500	0
7000	522.2	137781000	0
7500	559.2	147622500	0
8000	596.1	157464000	0
8500	634.0	167305500	0
9000	671.3	177147000	0
9500	708.6	186988500	0
10000	745.5	196830000	0
10500	782.5	206671500	0
11000	819.4	216513000	0
11500	856.5	226354500	0
12000	893.4	236196000	0
12500	932.6	246037500	0
13000	969.6	255879000	0
13500	1006.9	265720500	0
14000	1043.9	275562000	0
14500	1081.0	285403500	0
15000	1118.1	295245000	0
15500	1155.2	305086500	0
16000	1193.2	314928000	0
16500	1230.9	324769500	0
17000	1268.1	334611000	0
17500	1305.3	344452500	0
18000	1342.4	354294000	0
18500	1379.3	364135500	0
19000	1416.3	373977000	0
19500	1452.7	383818500	0
20000	1495.6	393660000	0
20440	1588.1	402320520	0
