qi	z3,z4,z6,z7	rank	graph_sigma	n_classes	min_n_good	argmin_z2,z5,z8	n_fallback	n_unsaturated
0	1,0,0,0	1	1	19683	78	0,0,0	0	0
1	1,1,0,0	1	0	19683	256	3,16,3	0	0
2	1,2,0,0	1	0	19683	256	6,16,6	0	0
3	1,3,0,0	1	0	19683	256	1,20,16	0	0
4	1,4,0,0	1	0	19683	256	1,22,13	0	0
5	1,5,0,0	1	0	19683	256	1,25,9	0	0
6	1,6,0,0	1	0	19683	256	2,20,23	0	0
7	1,7,0,0	1	0	19683	256	2,25,18	0	0
8	1,8,0,0	1	0	19683	256	2,22,26	0	0
9	1,9,0,0	1	0	19683	256	3,5,1	0	0
10	1,10,0,0	1	0	19683	256	6,13,21	0	0
11	1,11,0,0	1	0	19683	256	9,12,5	0	0
12	1,12,0,0	1	0	19683	256	11,1,15	0	0
13	1,13,0,0	1	0	19683	256	5,4,1	0	0
14	1,14,0,0	1	0	19683	256	7,16,19	0	0
15	1,15,0,0	1	0	19683	256	11,5,25	0	0
16	1,16,0,0	1	0	19683	256	4,3,1	0	0
17	1,17,0,0	1	0	19683	256	8,9,24	0	0
18	1,18,0,0	1	0	19683	256	6,5,2	0	0
19	1,19,0,0	1	0	19683	256	18,12,7	0	0
20	1,20,0,0	1	0	19683	256	3,13,15	0	0
21	1,21,0,0	1	0	19683	256	19,5,14	0	0
22	1,22,0,0	1	0	19683	256	4,9,12	0	0
23	1,23,0,0	1	0	19683	256	8,3,2	0	0
24	1,24,0,0	1	0	19683	256	19,1,21	0	0
25	1,25,0,0	1	0	19683	256	5,16,11	0	0
26	1,26,0,0	1	0	19683	256	7,4,2	0	0
27	1,0,1,0	1	0	19683	256	3,12,12	0	0
28	1,1,1,0	2	0	19683	254	11,11,5	0	0
29	1,2,1,0	2	0	19683	269	9,14,20	0	0
30	1,3,1,0	2	0	19683	252	23,25,10	0	0
31	1,4,1,0	2	0	19683	252	26,20,17	0	0
32	1,5,1,0	2	0	19683	252	18,22,14	0	0
33	1,6,1,0	2	0	19683	255	11,10,17	0	0
34	1,7,1,0	2	0	19683	255	12,14,10	0	0
35	1,8,1,0	2	0	19683	255	15,17,14	0	0
36	1,9,1,0	2	0	19683	253	11,6,3	0	0
37	1,10,1,0	2	0	19683	255	19,21,13	0	0
38	1,11,1,0	2	0	19683	256	18,25,20	0	0
39	1,12,1,0	2	0	19683	256	26,22,25	0	0
40	1,13,1,0	2	0	19683	253	12,7,5	0	0
41	1,14,1,0	2	0	19683	255	24,19,16	0	0
42	1,15,1,0	2	0	19683	256	23,20,22	0	0
43	1,16,1,0	2	0	19683	253	15,8,4	0	0
44	1,17,1,0	2	0	19683	255	21,24,9	0	0
45	1,18,1,0	2	0	19683	259	21,23,25	0	0
46	1,19,1,0	2	0	19683	259	3,22,12	0	0
47	1,20,1,0	2	0	19683	254	9,20,7	0	0
48	1,21,1,0	2	0	19683	259	4,25,11	0	0
49	1,22,1,0	2	0	19683	254	12,16,7	0	0
50	1,23,1,0	2	0	19683	259	24,26,20	0	0
51	1,24,1,0	2	0	19683	259	5,20,15	0	0
52	1,25,1,0	2	0	19683	254	11,13,6	0	0
53	1,26,1,0	2	0	19683	259	19,18,22	0	0
54	1,0,2,0	1	0	19683	256	6,12,24	0	0
55	1,1,2,0	2	0	19683	269	9,5,14	0	0
56	1,2,2,0	2	0	19683	254	19,11,7	0	0
57	1,3,2,0	2	0	19683	255	19,10,22	0	0
58	1,4,2,0	2	0	19683	255	21,17,25	0	0
59	1,5,2,0	2	0	19683	255	24,14,20	0	0
60	1,6,2,0	2	0	19683	252	16,25,20	0	0
61	1,7,2,0	2	0	19683	252	9,22,25	0	0
62	1,8,2,0	2	0	19683	252	13,20,22	0	0
63	1,9,2,0	2	0	19683	259	15,23,14	0	0
64	1,10,2,0	2	0	19683	254	10,8,13	0	0
65	1,11,2,0	2	0	19683	259	6,22,24	0	0
66	1,12,2,0	2	0	19683	259	7,20,21	0	0
67	1,13,2,0	2	0	19683	259	11,18,17	0	0
68	1,14,2,0	2	0	19683	254	14,6,16	0	0
69	1,15,2,0	2	0	19683	259	8,25,19	0	0
70	1,16,2,0	2	0	19683	259	12,26,10	0	0
71	1,17,2,0	2	0	19683	254	17,7,9	0	0
72	1,18,2,0	2	0	19683	253	19,6,6	0	0
73	1,19,2,0	2	0	19683	256	9,25,10	0	0
74	1,20,2,0	2	0	19683	255	11,21,26	0	0
75	1,21,2,0	2	0	19683	256	16,20,17	0	0
76	1,22,2,0	2	0	19683	255	15,24,18	0	0
77	1,23,2,0	2	0	19683	253	21,8,8	0	0
78	1,24,2,0	2	0	19683	256	13,22,14	0	0
