z2,z3,z4,z5,z6,z7,z8	cand_idx	nine_set
0,0,1,20,10,19,26	4	1,9,10,11,13,15,18,19,20
0,1,1,10,25,14,23	8	0,11,12,13,14,22,24,25,26
0,1,1,21,18,15,12	2	0,3,4,5,6,7,8,12,23
0,1,2,7,15,18,24	1	1,3,4,5,6,7,8,17,22
0,1,16,2,0,20,10	2	0,3,4,5,6,7,8,17,24
0,1,26,23,15,7,21	1	0,1,3,4,5,6,7,8,26
1,1,0,6,17,2,8	0	2,3,4,5,6,7,8,10,11
1,1,0,7,9,2,14	0	2,3,4,5,6,7,8,12,20
1,1,0,7,18,4,17	6	0,2,12,13,14,20,24,25,26
1,1,1,18,25,10,14	0	2,3,4,5,6,7,8,9,17
1,1,5,4,19,22,1	8	0,4,11,12,13,14,24,25,26
1,1,7,3,8,24,14	3	2,9,10,11,13,16,18,19,20
1,1,11,13,20,23,12	3	2,9,10,11,13,18,19,20,22
1,1,14,16,13,16,7	0	2,3,4,5,6,7,8,19,25
1,1,16,9,16,22,25	9	2,4,7,15,16,17,21,22,23
1,1,18,1,25,9,23	0	2,3,4,5,6,7,8,13,18
1,1,23,23,21,7,16	0	2,3,4,5,6,7,8,20,26
1,1,25,15,0,18,19	1	1,3,4,5,6,7,8,17,24
2,0,1,12,3,9,24	0	0,1,2,3,4,5,6,7,8
2,1,4,26,7,8,18	1	1,3,4,5,6,7,8,11,25
2,1,6,15,13,24,6	5	0,3,9,10,11,16,18,19,20
2,1,18,0,26,25,12	0	2,3,4,5,6,7,8,11,24
2,1,18,2,11,25,3	1	0,1,3,4,5,6,7,8,20
2,1,20,23,9,12,25	23	3,7,9,10,11,21,24,25,26
2,1,22,7,21,10,4	4	1,3,9,10,11,14,18,19,20
3,1,4,16,13,3,14	3	1,2,9,10,11,12,18,19,20
3,1,6,9,24,5,17	0	2,3,4,5,6,7,8,15,25
3,1,7,2,12,7,11	0	2,3,4,5,6,7,8,15,16
3,1,12,0,15,25,15	3	2,9,10,11,13,18,19,20,26
3,1,14,9,22,25,0	0	2,3,4,5,6,7,8,13,23
3,1,17,10,11,5,5	8	0,12,13,14,15,16,24,25,26
3,1,18,14,6,8,2	7	1,4,11,12,13,14,24,25,26
3,1,26,1,20,6,15	9	2,9,11,15,16,17,21,22,23
4,1,2,18,14,3,26	7	1,5,9,12,13,14,24,25,26
4,1,5,26,1,13,22	6	2,4,12,13,14,17,24,25,26
