cand_idx	dir_d	line_q	x1	x2	x3	lambda_label	y1	y2	collision_type	n_colliding_roots
15	1	2	3	4	5	l2	1	23	offline_retained	1
19	1	2	3	5	4	l3	1	18	offline_retained	1
23	1	2	4	5	3	l1	1	26	offline_retained	1
28	1	1	6	8	7	l2	2	16	offline_retained	1
30	1	1	6	7	8	l3	2	9	offline_retained	1
35	1	1	7	8	6	l1	2	13	offline_retained	1
37	1	5	9	11	10	1	17	26	offline_retained	1
38	1	5	10	11	9	1	13	25	offline_retained	1
39	1	5	9	10	11	l2	5	19	offline_retained	1
41	1	5	10	11	9	l2	9	24	third_point_x3	1
45	1	5	9	10	11	l1	5	7	offline_retained	1
48	1	4	12	13	14	1	10	23	offline_retained	1
49	1	4	12	14	13	1	16	22	offline_retained	1
53	1	4	13	14	12	l2	4	8	offline_retained	1
55	1	4	12	14	13	l3	13	21	third_point_x3	1
56	1	4	13	14	12	l3	4	24	offline_retained	1
60	1	3	15	16	17	1	14	18	offline_retained	1
61	1	3	15	17	16	1	9	20	offline_retained	1
68	1	3	16	17	15	l3	3	6	offline_retained	1
70	1	3	15	17	16	l1	16	19	third_point_x3	1
71	1	3	16	17	15	l1	3	21	offline_retained	1
72	1	7	18	19	20	1	13	22	offline_retained	1
74	1	7	19	20	18	1	14	26	offline_retained	1
76	1	7	18	20	19	l2	7	11	offline_retained	1
77	1	7	19	20	18	l2	12	18	third_point_x3	1
82	1	7	18	20	19	l1	5	7	offline_retained	1
84	1	6	21	22	23	1	10	18	offline_retained	1
85	1	6	21	23	22	1	9	25	offline_retained	1
92	1	6	22	23	21	l3	3	6	offline_retained	1
93	1	6	21	22	23	l1	11	23	third_point_x3	1
95	1	6	22	23	21	l1	6	15	offline_retained	1
96	1	8	24	25	26	1	17	23	offline_retained	1
97	1	8	24	26	25	1	16	20	offline_retained	1
101	1	8	25	26	24	l2	4	8	offline_retained	1
102	1	8	24	25	26	l3	15	26	third_point_x3	1
104	1	8	25	26	24	l3	8	12	offline_retained	1
121	3	11	1	7	4	l2	4	26	third_point_x3	1
122	3	11	4	7	1	l2	2	15	offline_retained	1
123	3	11	1	4	7	1	19	23	offline_retained	1
124	3	11	1	7	4	1	16	20	offline_retained	1
131	3	11	4	7	1	l1	15	21	offline_retained	1
132	3	19	2	5	8	l2	8	13	third_point_x3	1
134	3	19	5	8	2	l2	1	21	offline_retained	1
135	3	19	2	5	8	1	10	23	offline_retained	1
136	3	19	2	8	5	1	11	16	offline_retained	1
143	3	19	5	8	2	l1	15	21	offline_retained	1
144	3	8	9	12	15	l2	3	14	offline_retained	1
151	3	8	9	15	12	l3	3	8	offline_retained	1
155	3	8	12	15	9	l1	3	23	offline_retained	1
157	3	16	10	16	13	l2	12	24	offline_retained	1
159	3	16	10	13	16	1	11	25	offline_retained	1
161	3	16	13	16	10	1	7	14	offline_retained	1
162	3	16	10	13	16	l3	16	17	third_point_x3	1
163	3	16	10	16	13	l3	12	26	offline_retained	1
172	3	24	11	17	14	1	7	8	offline_retained	1
173	3	24	14	17	11	1	4	20	offline_retained	1
174	3	24	11	14	17	l3	9	18	offline_retained	1
177	3	24	11	14	17	l1	18	22	offline_retained	1
178	3	24	11	17	14	l1	1	14	third_point_x3	1
181	3	4	18	24	21	l2	6	25	offline_retained	1
186	3	4	18	21	24	l3	4	6	offline_retained	1
191	3	4	21	24	18	l1	6	16	offline_retained	1
195	3	12	19	22	25	1	4	5	offline_retained	1
197	3	12	22	25	19	1	8	10	offline_retained	1
199	3	12	19	25	22	l3	9	18	offline_retained	1
