cand_idx	dir_d	line_q	line_points	x1	x2	x3	kappa	lambda	lambda_label	plane_points	y1	y2	nine_set	torus_orbit_id	torus_orbit_size
40	1	5	9,10,11	9	11	10	13	13	l2	0,1,2,9,10,11,18,19,20	8	15	0,1,2,8,10,15,18,19,20	0	26
54	1	4	12,13,14	12	13	14	16	16	l3	0,1,2,12,13,14,24,25,26	6	11	0,1,2,6,11,14,24,25,26	1	26
69	1	3	15,16,17	15	16	17	9	9	l1	0,1,2,15,16,17,21,22,23	7	12	0,1,2,7,12,17,21,22,23	2	26
75	1	7	18,19,20	18	19	20	13	13	l2	0,1,2,9,10,11,18,19,20	4	21	0,1,2,4,9,10,11,20,21	0	26
94	1	6	21,22,23	21	23	22	9	9	l1	0,1,2,15,16,17,21,22,23	5	24	0,1,2,5,15,16,17,22,24	2	26
103	1	8	24,25,26	24	26	25	16	16	l3	0,1,2,12,13,14,24,25,26	3	19	0,1,2,3,12,13,14,19,25	1	26
120	3	11	1,4,7	1	4	7	22	13	l2	0,1,2,3,4,5,6,7,8	22	24	0,2,3,5,6,7,8,22,24	0	26
133	3	19	2,5,8	2	8	5	22	13	l2	0,1,2,3,4,5,6,7,8	12	17	0,1,3,4,5,6,7,12,17	0	26
164	3	16	10,13,16	13	16	10	11	16	l3	0,3,6,10,13,16,20,23,26	1	18	0,1,3,6,10,18,20,23,26	1	26
179	3	24	11,14,17	14	17	11	20	9	l1	0,3,6,11,14,17,19,22,25	15	26	0,3,6,11,15,19,22,25,26	2	26
203	3	12	19,22,25	22	25	19	20	9	l1	0,3,6,11,14,17,19,22,25	13	21	0,3,6,11,13,14,17,19,21	2	26
212	3	23	20,23,26	23	26	20	11	16	l3	0,3,6,10,13,16,20,23,26	2	9	0,2,3,6,9,10,13,16,20	1	26
228	4	15	1,5,6	1	5	6	25	9	l1	0,1,2,3,4,5,6,7,8	19	25	0,2,3,4,6,7,8,19,25	2	26
241	4	21	2,3,7	2	7	3	25	9	l1	0,1,2,3,4,5,6,7,8	11	14	0,1,3,4,5,6,8,11,14	2	26
255	4	13	9,13,17	9	13	17	15	13	l2	0,4,8,9,13,17,18,22,26	1	23	0,1,4,8,17,18,22,23,26	0	26
270	4	19	10,14,15	10	14	15	22	16	l3	0,4,8,10,14,15,20,21,25	12	18	0,4,8,12,15,18,20,21,25	1	26
292	4	26	18,22,26	18	26	22	15	13	l2	0,4,8,9,13,17,18,22,26	2	16	0,2,4,8,9,13,16,17,22	0	26
319	4	11	20,21,25	20	25	21	22	16	l3	0,4,8,10,14,15,20,21,25	9	24	0,4,8,9,10,14,15,21,24	1	26
336	5	12	1,3,8	1	3	8	20	16	l3	0,1,2,3,4,5,6,7,8	20	21	0,2,4,5,6,7,8,20,21	1	26
349	5	24	2,4,6	2	6	4	20	16	l3	0,1,2,3,4,5,6,7,8	10	15	0,1,3,4,5,7,8,10,15	1	26
364	5	9	9,14,16	9	16	14	12	9	l1	0,5,7,9,14,16,18,23,25	1	26	0,1,5,7,14,18,23,25,26	2	26
379	5	21	10,12,17	10	17	12	25	13	l2	0,5,7,10,12,17,20,22,24	11	23	0,5,7,11,12,20,22,23,24	0	26
399	5	18	18,23,25	18	23	25	12	9	l1	0,5,7,9,14,16,18,23,25	2	13	0,2,5,7,9,13,14,16,25	2	26
426	5	15	20,22,24	20	22	24	25	13	l2	0,5,7,10,12,17,20,22,24	16	19	0,5,7,10,12,16,17,19,24	0	26
446	9	14	1,10,19	10	19	1	3	9	l1	0,1,2,9,10,11,18,19,20	22	23	0,1,2,9,11,18,20,22,23	2	26
458	9	25	2,11,20	11	20	2	3	9	l1	0,1,2,9,10,11,18,19,20	16	17	0,1,2,9,10,16,17,18,19	2	26
471	9	9	3,12,21	3	12	21	12	13	l2	0,3,6,9,12,15,18,21,24	11	26	0,6,9,11,15,18,21,24,26	0	26
503	9	7	5,14,23	14	23	5	13	16	l3	0,5,7,9,14,16,18,23,25	4	6	0,4,5,6,7,9,16,18,25	1	26
508	9	18	6,15,24	6	24	15	12	13	l2	0,3,6,9,12,15,18,21,24	13	19	0,3,9,12,13,15,18,19,21	0	26
527	9	5	7,16,25	16	25	7	13	16	l3	0,5,7,9,14,16,18,23,25	3	8	0,3,5,7,8,9,14,18,23	1	26
552	10	3	1,11,18	1	11	18	9	16	l3	0,1,2,9,10,11,18,19,20	7	25	0,2,7,9,10,18,19,20,25	1	26
565	10	6	2,9,19	2	19	9	9	16	l3	0,1,2,9,10,11,18,19,20	5	14	0,1,5,9,10,11,14,18,20	1	26
579	10	11	3,13,23	3	13	23	22	9	l1	0,3,6,10,13,16,20,23,26	11	24	0,6,10,11,16,20,23,24,26	2	26
596	10	14	4,14,21	14	21	4	3	13	l2	0,4,8,10,14,15,20,21,25	22	26	0,4,8,10,15,20,22,25,26	0	26
616	10	19	6,16,26	6	26	16	22	9	l1	0,3,6,10,13,16,20,23,26	12	19	0,3,10,12,13,16,19,20,23	2	26
644	10	25	8,15,25	15	25	8	3	13	l2	0,4,8,10,14,15,20,21,25	13	17	0,4,8,10,13,14,17,20,21	0	26
688	11	16	3,14,22	3	22	14	11	13	l2	0,3,6,11,14,17,19,22,25	5	18	0,5,6,11,14,17,18,19,25	0	26
