orbit_rep	orbit_size	torus_frobenius_rep	category	max_plane_intersection	n_lines_contained	parallel_directions	nine_set
8099	26	8099	d-none	5	2	-	0,1,5,7,8,9,10,11,12
8102	26	8102	d-none	5	2	-	1,2,5,7,8,9,10,11,12
8106	26	8106	d-none	5	2	-	1,3,5,7,8,9,10,11,12
8114	26	8114	d-none	5	2	-	1,4,5,7,8,9,10,11,12
8162	26	8162	d-none	6	3	-	1,5,6,7,8,9,10,11,12
13967	26	13967	d-none	5	2	-	0,1,2,3,7,9,10,12,13
16290	26	16290	d-none	5	1	-	1,5,7,8,9,10,11,12,13
18811	26	18811	c2-plane-two-point-switch	7	5	-	0,1,3,4,5,6,8,11,14
24482	26	24482	d-none	5	1	-	1,5,7,8,9,10,11,12,14
26014	26	26014	d-none	6	3	-	1,2,3,4,7,8,10,13,14
29644	26	29644	d-none	6	3	-	2,3,6,7,8,9,12,13,14
34235	26	18811	c2-plane-two-point-switch	7	5	-	0,1,3,4,5,7,8,10,15
38613	26	38613	d-none	5	2	-	0,2,4,6,7,9,10,12,15
40222	26	40222	d-none	5	1	-	1,2,3,4,8,10,11,12,15
40866	26	40866	d-none	5	2	-	1,5,7,8,9,10,11,12,15
48017	26	48017	d-none	5	3	-	0,4,7,8,9,11,12,13,15
55406	26	40222	d-none	5	1	-	1,2,3,5,6,11,12,14,15
56071	26	56071	d-none	5	2	-	0,1,2,8,9,11,12,14,15
59789	26	38613	d-none	5	2	-	0,2,3,7,8,11,13,14,15
61779	26	8099	d-none	5	2	-	0,1,4,6,8,12,13,14,15
61782	26	8102	d-none	5	2	-	1,2,4,6,8,12,13,14,15
61786	26	8114	d-none	5	2	-	1,3,4,6,8,12,13,14,15
61810	26	8106	d-none	5	2	-	1,4,5,6,8,12,13,14,15
61906	26	8162	d-none	6	3	-	1,4,6,7,8,12,13,14,15
62290	26	62290	d-none	5	2	-	1,4,6,8,9,12,13,14,15
62802	26	62802	d-none	5	2	-	1,4,6,8,10,12,13,14,15
63826	26	40866	d-none	5	2	-	1,4,6,8,11,12,13,14,15
64673	26	64673	d-none	6	4	-	0,5,7,10,11,12,13,14,15
69588	26	29644	d-none	6	3	-	2,4,6,7,8,9,10,11,16
73634	26	62290	d-none	5	2	-	1,5,7,8,9,10,11,12,16
74303	26	74303	d-none	6	2	-	0,1,2,3,4,5,9,13,16
74366	26	74366	d-none	6	3	-	1,2,3,4,5,6,9,13,16
74430	26	74366	d-none	6	3	-	1,2,3,4,5,7,9,13,16
74558	26	74366	d-none	6	3	-	1,2,3,4,5,8,9,13,16
75326	26	75326	d-none	5	2	-	1,2,3,4,5,9,10,13,16
76350	26	76350	d-none	5	1	-	1,2,3,4,5,9,11,13,16
78398	26	76350	d-none	5	1	-	1,2,3,4,5,9,12,13,16
83847	26	83847	d-none	5	2	-	0,1,2,7,8,9,10,14,16
85681	26	85681	d-none	6	3	-	0,4,5,7,9,10,11,14,16
87960	26	87960	d-none	5	1	-	3,4,7,8,9,10,12,14,16
90686	26	75326	d-none	5	2	-	1,2,3,4,5,9,13,14,16
93465	26	93465	d-none	5	2	-	0,3,4,8,10,11,13,14,16
93510	26	93510	d-none	5	1	-	1,2,6,8,10,11,13,14,16
105185	26	48017	d-none	5	3	-	0,5,6,7,9,11,12,15,16
105607	26	56071	d-none	5	2	-	0,1,2,7,10,11,12,15,16
107070	26	76350	d-none	5	1	-	1,2,3,4,5,9,13,15,16
112969	26	48017	d-none	5	3	-	0,3,6,8,11,12,13,15,16
