stratum	z2,z3,z4,z5,z6,z7,z8	n_nonsingular	n_zero_disc	n_split_distinct	n_good	n_good_lambda1	n_good_conjugate	n_onepoint	exh_split9	exh_deg8
rank1-graph	0,1,0,0,0,0,0	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,1,1,2,2,2	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,2,1,1,2,1	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,3,9,8,24,26	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,4,16,7,19,18	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,5,13,6,21,23	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,6,9,4,24,13	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,7,13,3,21,16	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,8,16,5,19,9	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,9,12,23,10,21	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,10,4,22,23,3	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,11,22,21,7,10	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,12,20,19,8,14	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,13,15,18,14,19	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,14,3,20,18,5	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,15,25,24,6,17	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,16,11,26,17,24	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,17,5,25,26,4	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,18,12,16,10,15	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,19,22,15,7,20	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,20,4,17,23,6	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,21,25,12,6,22	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,22,5,14,26,8	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,23,11,13,17,12	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,24,20,11,8,25	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,25,3,10,18,7	1326	156	546	78	0	78	0	6890	2088
rank1-offgraph	0,1,26,15,9,14,11	1326	156	546	78	0	78	0	6890	2028
rank2-random	0,0,1,0,9,17,2	1012	59	415	209	56	153	0	6166	2763
rank1-offgraph	0,0,1,0,0,1,1	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,0,0,2,1	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,0,0,3,15	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,0,0,4,12	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,0,0,5,11	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,0,0,6,15	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,0,0,7,11	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,0,0,8,12	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,0,0,9,25	1012	39	444	231	51	180	0	6088	2652
rank1-offgraph	0,0,1,0,0,10,9	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,0,0,11,4	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,0,0,12,3	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,0,0,13,22	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,0,0,14,13	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,0,0,15,5	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,0,0,16,20	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,0,0,17,16	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,0,0,18,25	1012	39	444	231	51	180	0	6088	2711
rank1-offgraph	0,0,1,0,0,19,4	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,0,0,20,9	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,0,0,21,5	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,0,0,22,16	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,0,0,23,20	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,0,0,24,3	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,0,0,25,13	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,0,0,26,22	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,1,0,0,1	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,1,0,2,0	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,1,0,3,14	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,1,0,4,10	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,1,0,5,17	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,1,0,6,9	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,1,0,7,13	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,1,0,8,16	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,1,0,9,13	1012	39	444	231	51	180	0	6088	2652
rank1-offgraph	0,0,1,1,0,10,8	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,1,0,11,20	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,1,0,12,25	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,1,0,13,16	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,1,0,14,6	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,1,0,15,22	1012	39	444	231	51	180	0	6088	2534
