stratum	metric	value	count
rank0-kernel	n_good	222	351
rank0-kernel	n_good	312	27
rank0-kernel	n_good	366	351
rank0-kernel	n_good	1300	27
rank0-kernel	n_good	1404	1
rank0-kernel	n_nonsingular	1296	351
rank0-kernel	n_nonsingular	1300	378
rank0-kernel	n_nonsingular	1404	28
rank0-kernel	n_split_distinct	444	351
rank0-kernel	n_split_distinct	468	27
rank0-kernel	n_split_distinct	720	351
rank0-kernel	n_split_distinct	1300	27
rank0-kernel	n_split_distinct	1404	1
rank0-kernel	n_zero_disc	0	28
rank0-kernel	n_zero_disc	36	702
rank0-kernel	n_zero_disc	364	27
rank0-kernel	n_good_lambda1	57	351
rank0-kernel	n_good_lambda1	84	351
rank0-kernel	n_good_lambda1	156	27
rank0-kernel	n_good_lambda1	325	27
rank0-kernel	n_good_lambda1	351	1
rank0-kernel	n_good_conjugate	156	27
rank0-kernel	n_good_conjugate	165	351
rank0-kernel	n_good_conjugate	282	351
rank0-kernel	n_good_conjugate	975	27
rank0-kernel	n_good_conjugate	1053	1
rank0-kernel	n_onepoint	0	757
rank1-graph	n_good	78	1
rank1-graph	n_good	256	78
rank1-graph	n_good	260	78
rank1-graph	n_good	262	78
rank1-graph	n_good	263	156
rank1-graph	n_good	267	78
rank1-graph	n_good	268	78
rank1-graph	n_good	269	234
rank1-graph	n_good	270	104
rank1-graph	n_good	272	156
rank1-graph	n_good	273	260
rank1-graph	n_good	274	2262
rank1-graph	n_good	275	156
rank1-graph	n_good	276	2366
rank1-graph	n_good	277	156
rank1-graph	n_good	278	234
rank1-graph	n_good	279	312
rank1-graph	n_good	280	234
rank1-graph	n_good	281	78
rank1-graph	n_good	282	312
rank1-graph	n_good	283	156
rank1-graph	n_good	284	390
rank1-graph	n_good	285	1014
rank1-graph	n_good	286	3042
rank1-graph	n_good	287	312
rank1-graph	n_good	288	1014
rank1-graph	n_good	289	624
rank1-graph	n_good	290	1014
rank1-graph	n_good	291	4004
rank1-graph	n_good	292	1404
rank1-graph	n_good	293	1092
rank1-graph	n_good	294	1014
rank1-graph	n_good	295	1638
rank1-graph	n_good	296	2652
rank1-graph	n_good	297	1430
rank1-graph	n_good	298	3432
rank1-graph	n_good	299	1560
rank1-graph	n_good	300	3068
rank1-graph	n_good	301	1950
rank1-graph	n_good	302	4602
rank1-graph	n_good	303	2730
rank1-graph	n_good	304	4992
rank1-graph	n_good	305	2340
rank1-graph	n_good	306	5460
rank1-graph	n_good	307	3588
rank1-graph	n_good	308	4056
rank1-graph	n_good	309	3614
rank1-graph	n_good	310	3822
rank1-graph	n_good	311	4758
rank1-graph	n_good	312	4368
rank1-graph	n_good	313	3432
rank1-graph	n_good	314	4446
rank1-graph	n_good	315	5486
rank1-graph	n_good	316	6162
rank1-graph	n_good	317	6240
rank1-graph	n_good	318	6240
rank1-graph	n_good	319	8034
rank1-graph	n_good	320	6396
rank1-graph	n_good	321	6734
rank1-graph	n_good	322	7098
rank1-graph	n_good	323	7020
rank1-graph	n_good	324	8502
rank1-graph	n_good	325	7956
rank1-graph	n_good	326	9126
rank1-graph	n_good	327	8502
rank1-graph	n_good	328	8736
rank1-graph	n_good	329	8502
rank1-graph	n_good	330	10244
rank1-graph	n_good	331	9126
rank1-graph	n_good	332	7644
rank1-graph	n_good	333	7748
rank1-graph	n_good	334	7722
rank1-graph	n_good	335	8112
rank1-graph	n_good	336	8606
rank1-graph	n_good	337	8502
rank1-graph	n_good	338	9048
rank1-graph	n_good	339	9204
rank1-graph	n_good	340	8580
rank1-graph	n_good	341	7878
rank1-graph	n_good	342	8294
rank1-graph	n_good	343	10140
rank1-graph	n_good	344	8346
rank1-graph	n_good	345	9750
rank1-graph	n_good	346	8502
rank1-graph	n_good	347	8190
rank1-graph	n_good	348	8346
rank1-graph	n_good	349	7176
rank1-graph	n_good	350	7488
rank1-graph	n_good	351	6942
rank1-graph	n_good	352	7410
rank1-graph	n_good	353	6162
rank1-graph	n_good	354	8866
rank1-graph	n_good	355	7098
rank1-graph	n_good	356	7566
rank1-graph	n_good	357	7293
rank1-graph	n_good	358	5928
rank1-graph	n_good	359	7722
rank1-graph	n_good	360	7410
rank1-graph	n_good	361	6240
rank1-graph	n_good	362	4992
rank1-graph	n_good	363	5252
rank1-graph	n_good	364	5538
rank1-graph	n_good	365	5382
rank1-graph	n_good	366	4212
rank1-graph	n_good	367	4446
rank1-graph	n_good	368	3744
